Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Fitzgerald  Larry Fitzgerald,WR,35,16850000,9.51,-15850000.0,12000000,
2,Jones  Chandler Jones,DL,28,15500000,8.75,-36000000.0,12500000,2022.0
3,Peterson  Patrick Peterson,CB,28,14956965,8.44,-16226141.0,11250000,2021.0
4,Bucannon  Deone Bucannon,ED,26,8718000,4.92,-8718000.0,8718000,2019.0
5,Gresham  Jermaine Gresham,TE,30,7218750,4.07,-12750000.0,5468750,2021.0
6,Johnson  David Johnson,RB,27,5042344,2.85,-24266844.0,13882500,2022.0
7,Bethea  Antoine Bethea,FS,34,3658541,2.06,-5333336.0,4500000,2020.0
8,Rosen  Josh Rosen,QB,21,3199592,1.81,-17597756.0,11358368,2023.0
9,Reddick  Haason Reddick,ED,24,3063174,1.73,-5956618.0,1077635,2021.0
10,Peters  Corey Peters,DL,30,2640625,1.49,-3312500.0,1953125,2021.0
11,Lee  Andy Lee,P,36,2627500,1.48,-2377500.0,2265000,2021.0
12,Boston  Tre Boston,FS,26,2475000,1.4,-1300000.0,2475000,2019.0
13,Glennon  Mike Glennon,QB,29,2000000,1.13,-5000000.0,5000000,2020.0
14,Nelson  J.J. Nelson,WR,26,1959450,1.11,-52450.0,1907000,2019.0
15,Baker  Budda Baker,SS,22,1552274,0.88,-3105913.0,775455,2021.0
16,Mayowa  Benson Mayowa,DL,27,1334375,0.75,-1100000.0,1334375,2019.0
17,Golden  Markus Golden,DL,27,1246742,0.7,-277424.0,969318,2019.0
18,Brewer  Aaron Brewer,LS,28,883750,0.5,-1065000.0,1090000,2022.0
19,Gunter  Rodney Gunter,DL,26,832480,0.47,-127480.0,705000,2019.0
20,Williams  Brandon Williams,CB,26,824173,0.47,-336349.0,656000,2020.0
21,Williams  Chad Williams,WR,24,758072,0.43,-529716.0,581500,2021.0
22,Moore  Zach Moore,DL,28,705000,0.4,,705000,2019.0
23,Cole  Mason Cole,C,22,670379,0.38,-761516.0,1241516,2022.0
24,Coleman  Derrick Coleman,FB,28,630000,0.36,-790000.0,790000,2019.0
25,Hodges  Gerald Hodges,ED,27,630000,0.36,-790000.0,790000,2019.0
26,Edmonds  Chase Edmonds,RB,22,593089,0.33,-452359.0,932359,2022.0
27,Ford  Johnathan Ford,S,23,590045,0.33,-105136.0,555000,2021.0
28,Munyer  Daniel Munyer,C,26,555000,0.31,,555000,2019.0
29,Seals-Jones  Ricky Seals-Jones,TE,23,555000,0.31,,555000,2019.0
30,Logan  T.J. Logan,RB,24,530484,0.3,-151453.0,480000,2021.0
31,Walker  Joe Walker,LB,26,489705,0.28,,489705,2020.0
32,Sherfield  Trent Sherfield,WR,22,483333,0.27,-10000.0,490000,2021.0
33,Gardeck  Dennis Gardeck,ED,24,482000,0.27,-6000.0,486000,2021.0
34,Turner  Ezekiel Turner,S,22,481000,0.27,-3000.0,483000,2021.0
35,Aboushi  Oday Aboushi,G,27,370590,0.21,,464710,2019.0
36,Phillips  John Phillips,TE,31,333531,0.19,,484416,2019.0
37,Amerson  David Amerson,CB,27,278824,0.16,,278824,2020.0
38,Gossett  Colby Gossett,G,23,254115,0.14,,254115,2020.0
39,Golditch  Zack Golditch,G,23,225880,0.13,,225880,2020.0
40,Barksdale  Joe Barksdale,RT,29,215294,0.12,,215294,2019.0
41,Swearinger  D.J. Swearinger,FS,27,176470,0.1,-5666667.0,176470,2020.0
42,Holden  Will Holden,T,25,163235,0.09,,163235,2020.0
43,Gonzalez  Zane Gonzalez,K,23,163235,0.09,,163235,2020.0
44,Daniels  Darrell Daniels,TE,24,163235,0.09,,163235,2019.0
45,Malveaux  Cameron Malveaux,DL,24,163235,0.09,,163235,2020.0
46,Odhiambo  Rees Odhiambo,T,26,148236,0.08,,148236,2020.0
47,Dora  Vontarrius Dora,ED,26,130588,0.07,,130588,2021.0
48,Tolliver  Jalen Tolliver,WR,23,112940,0.06,,112940,2020.0
49,Valentine  Vincent Valentine,DL,24,97941,0.06,,97941,2020.0
50,Cooper  Pharoh Cooper,WR,23,74118,0.04,,74118,2020.0
51,Jones  Chris Jones,S,23,56470,0.03,,56470,2021.0
52,Dupre  Malachi Dupre,WR,23,28235,0.02,,28235,2020.0
53,Tasini  Pasoni Tasini,DL,25,28235,0.02,,28235,2020.0
