Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Cousins  Kirk Cousins,QB,36,25000000,9.79,-90000000.0,62522768,2028.0
2,Matthews  Jake Matthews,LT,32,21773713,8.53,-34321139.0,15573509,2027.0
3,Jarrett  Grady Jarrett,DL,31,20375000,7.98,-9250000.0,16298650,2026.0
4,McGary  Kaleb McGary,RT,29,12500000,4.89,-9500000.0,10618934,2026.0
5,Pitts  Kyle Pitts,TE,24,10471522,4.1,-10471521.0,5236624,2026.0
6,Bates III  Jessie Bates III,FS,27,10000000,3.92,-26500000.0,13146928,2027.0
7,Lindstrom  Chris Lindstrom,G,27,9050000,3.54,-34500000.0,12672843,2029.0
8,Elliss  Kaden Elliss,LB,29,8500000,3.33,-6000000.0,6927196,2026.0
9,Terrell  A.J. Terrell,CB,26,8344000,3.27,-42344000.0,28517157,2029.0
10,Onyemata  David Onyemata,DL,32,7650000,3.0,-16500000.0,8612738,2026.0
11,Mooney  Darnell Mooney,WR,27,7450000,2.92,-26000000.0,17656236,2027.0
12,Judon  Matt Judon,ED,32,6735292,2.64,,7549100,2025.0
13,London  Drake London,WR,23,5873037,2.3,-12724913.0,2888160,2027.0
14,Robinson  Bijan Robinson,RB,22,4990577,1.95,-17966074.0,1965075,2028.0
15,Carter  Lorenzo Carter,ED,29,4750000,1.86,-1000000.0,3879278,2025.0
16,Simmons  Justin Simmons,FS,31,4333333,1.7,-7500000.0,7668715,2025.0
17,Penix Jr.  Michael Penix Jr.,QB,24,4160479,1.63,-22882636.0,14323952,2029.0
18,Grant  Richie Grant,SS,27,3959339,1.55,-843339.0,3287840,2025.0
19,Hughes  Mike Hughes,CB,27,3845000,1.51,-750000.0,3352292,2025.0
20,Dalman  Drew Dalman,C,26,3310180,1.3,-194180.0,3338654,2025.0
21,Pinion  Bradley Pinion,P,30,3000000,1.17,-2080000.0,2590966,2026.0
22,Woerner  Charlie Woerner,TE,27,2500000,0.98,-4160000.0,4846167,2027.0
23,Ebiketie  Arnold Ebiketie,ED,25,2405097,0.94,-3156743.0,1826606,2026.0
24,Bergeron  Matthew Bergeron,G,24,2040564,0.8,-5381691.0,1910839,2027.0
25,McCloud  Ray-Ray McCloud,WR,28,1805000,0.71,-2125000.0,3098540,2026.0
26,Orhorhoro  Ruke Orhorhoro,DL,23,1802932,0.71,-8735167.0,4926457,2028.0
27,Street  Kentavius Street,DL,28,1685000,0.66,-300000.0,1928806,2025.0
28,Malone  DeAngelo Malone,LB,25,1426250,0.56,-491666.0,1592784,2026.0
29,Harrison  Zach Harrison,DL,23,1265556,0.5,-787335.0,1357752,2027.0
30,Norton  Storm Norton,RT,30,1152500,0.45,-550000.0,1493539,2025.0
31,Hodge  Khadarel Hodge,WR,29,1152500,0.45,-167500.0,1746419,2025.0
32,Dwelley  Ross Dwelley,TE,29,1131323,0.44,,1554307,2025.0
33,Williams  Avery Williams,RB,30,1115038,0.44,-60038.0,1444866,2025.0
34,Phillips III  Clark Phillips III,CB,23,1108382,0.43,-580146.0,1393650,2027.0
35,Allgeier  Tyler Allgeier,RB,24,1068474,0.42,-166948.0,1487629,2026.0
36,Hinton  Kyle Hinton,G,26,1035000,0.41,-50000.0,1157308,2025.0
37,Wilkinson  Elijah Wilkinson,G,29,1008333,0.39,,1016131,2025.0
38,Dorlus  Brandon Dorlus,DL,23,1000599,0.39,-822396.0,1640908,2028.0
39,Alford  Dee Alford,CB,27,988500,0.39,-3500.0,1820393,2025.0
40,Goldman  Eddie Goldman,DL,30,985000,0.39,,1613949,2025.0
41,McCullough  Liam McCullough,LS,27,985000,0.39,,1127330,2025.0
42,Neuzil  Ryan Neuzil,C,27,985000,0.39,,1698105,2025.0
43,Parker  Brandon Parker,RT,29,930274,0.36,,1062500,2025.0
44,Bertrand  JD Bertrand,LB,24,882506,0.35,-350024.0,1549232,2028.0
45,Washington  Casey Washington,WR,23,843399,0.33,-193596.0,1047827,2028.0
46,King  Kevin King,CB,29,656667,0.26,,1004005,2025.0
47,Landman  Nathan Landman,LB,26,522222,0.2,,1193766,2025.0
48,Brooks  Natrone Brooks,CB,25,353336,0.14,,572080,2026.0
49,Harris  Demone Harris,DL,29,328332,0.13,,623274,2025.0
50,Washington Jr.  Carlos Washington Jr.,RB,26,176668,0.07,,188698,2026.0
51,Patterson  Riley Patterson,K,26,175833,0.07,,197707,
52,Blair  Chris Blair,WR,26,132501,0.05,,183905,2026.0
53,Woods  Josh Woods,LB,28,117222,0.05,,215374,2025.0
