Unnamed: 0,Player (98),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Hughes  Jerry Hughes,ED,31,12950000,6.88,-23800000.0,14263513,2022
2,Lotulelei  Star Lotulelei,DL,30,11500000,6.11,-18800000.0,8911813,2023
3,Morse  Mitch Morse,C,27,11250000,5.98,-20500000.0,19520515,2023
4,Murphy  Trent Murphy,ED,29,8800000,4.68,-6600000.0,7070803,2021
5,Brown  John Brown,WR,29,7468750,3.97,-10200000.0,10699683,2022
6,Beasley  Cole Beasley,WR,30,6868750,3.65,-10900000.0,11395717,2023
7,Hyde  Micah Hyde,SS,28,6618750,3.52,-5400000.0,5058716,2022
8,Kroft  Tyler Kroft,TE,27,5112500,2.72,-4300000.0,6727947,2021
9,Hauschka  Steven Hauschka,K,34,5025000,2.67,-6025000.0,5281739,2022
10,Allen  Josh Allen,QB,23,4814326,2.56,-17591574.0,1494715,2023
11,Nsekhe  Ty Nsekhe,RT,34,4800000,2.55,-6300000.0,6320771,2021
12,Phillips  Jordan Phillips,DL,27,4500000,2.39,-2250000.0,4533749,2020
13,Poyer  Jordan Poyer,FS,28,4325000,2.3,-2000000.0,3516207,2021
14,Long  Spencer Long,C,29,3875000,2.06,-1400000.0,3789823,2022
15,Alexander  Lorenzo Alexander,LB,36,3750000,1.99,-1850000.0,3700000,2020
16,Alexander  Lorenzo Alexander,LB,36,3750000,1.99,-1850000.0,3700000,2020
17,Oliver  Ed Oliver,DL,22,3577301,1.9,-19565156.0,12865503,2024
18,Feliciano  Jon Feliciano,G,27,3500000,1.86,-4000000.0,4315014,2021
19,Feliciano  Jon Feliciano,G,27,3500000,1.86,-4000000.0,4315014,2021
20,Smith  Lee Smith,TE,32,3500000,1.86,-4500000.0,3528124,2022
21,Smith  Lee Smith,TE,32,3500000,1.86,-4500000.0,3528124,2022
22,Lawson  Shaq Lawson,ED,25,3270586,1.74,-3270586.0,1891955,2020
23,Lawson  Shaq Lawson,ED,25,3270586,1.74,-3270586.0,1891955,2020
24,Johnson  Kevin Johnson,CB,27,3000000,1.59,-700000.0,3048557,2020
25,Johnson  Kevin Johnson,CB,27,3000000,1.59,-700000.0,3048557,2020
26,Edmunds  Tremaine Edmunds,LB,21,2877169,1.53,-10357809.0,1148551,2023
27,White  Tre'Davious White,CB,24,2752121,1.46,-4121869.0,1478398,2022
28,White  Tre'Davious White,CB,24,2752121,1.46,-4121869.0,1478398,2022
29,Roberts  Andre Roberts,WR,31,2600000,1.38,-3100000.0,3122287,2021
30,Roberts  Andre Roberts,WR,31,2600000,1.38,-3100000.0,3122287,2021
31,DiMarco  Patrick DiMarco,FB,30,2150000,1.14,-1050000.0,1687663,2021
32,DiMarco  Patrick DiMarco,FB,30,2150000,1.14,-1050000.0,1687663,2021
33,Spain  Quinton Spain,G,28,2050000,1.09,-300000.0,2143171,2020
34,Spain  Quinton Spain,G,28,2050000,1.09,-300000.0,2143171,2020
35,Gore  Frank Gore,RB,36,2000000,1.06,-750000.0,2046814,2020
36,Gore  Frank Gore,RB,36,2000000,1.06,-750000.0,2046814,2020
37,Barkley  Matt Barkley,QB,29,1775000,0.94,-650000.0,1586119,2021
38,Barkley  Matt Barkley,QB,29,1775000,0.94,-650000.0,1586119,2021
39,Stanford  Julian Stanford,LB,29,1525000,0.81,-275000.0,1409447,2020
40,Stanford  Julian Stanford,LB,29,1525000,0.81,-275000.0,1409447,2020
41,Ford  Cody Ford,RT,23,1364994,0.73,-4315395.0,4122727,2023
42,Yeldon  T.J. Yeldon,RB,26,1300000,0.69,-550000.0,1586789,2021
43,Yeldon  T.J. Yeldon,RB,26,1300000,0.69,-550000.0,1586789,2021
44,Dawkins  Dion Dawkins,LT,25,1140883,0.61,-641178.0,1082169,2021
45,Ferguson  Reid Ferguson,LS,25,850000,0.45,-470000.0,1141976,2022
46,Singletary  Devin Singletary,RB,22,753956,0.4,-1035824.0,1708707,2023
47,Johnson  Taron Johnson,CB,23,731517,0.39,-484551.0,765713,2022
48,Milano  Matt Milano,LB,24,710376,0.38,-130754.0,1005498,2021
49,Knox  Dawson Knox,TE,23,700545,0.37,-822180.0,1577618,2023
50,Coleman  Kurt Coleman,FS,31,645000,0.34,,1000395,2020
51,Coleman  Kurt Coleman,FS,31,645000,0.34,,1000395,2020
52,Coleman  Kurt Coleman,FS,31,645000,0.34,,1000395,2020
53,Marlowe  Dean Marlowe,SS,27,645000,0.34,,723373,2020
54,Marlowe  Dean Marlowe,SS,27,645000,0.34,,723373,2020
55,Marlowe  Dean Marlowe,SS,27,645000,0.34,,723373,2020
56,McKenzie  Isaiah McKenzie,WR,24,645000,0.34,,829220,2020
57,McKenzie  Isaiah McKenzie,WR,24,645000,0.34,,829220,2020
58,McKenzie  Isaiah McKenzie,WR,24,645000,0.34,,829220,2020
59,Neal  Siran Neal,S,25,641504,0.34,-214512.0,734356,2022
60,Boettger  Ike Boettger,G,25,570000,0.3,,595413,2021
61,Boettger  Ike Boettger,G,25,570000,0.3,,595413,2021
62,Boettger  Ike Boettger,G,25,570000,0.3,,595413,2021
63,Foster  Robert Foster,WR,25,570000,0.3,,731683,2020
