Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Burns  Brian Burns,ED,25,16012000,7.12,-16012000.0,16012000,2024
2,Moton  Taylor Moton,RT,29,13527916,6.02,-38023750.0,17800000,2026
3,Jackson  Donte Jackson,CB,28,8075167,3.59,-16255834.0,10522500,2025
4,Brown  Derrick Brown,DL,25,7515902,3.34,-7515902.0,3831101,2025
5,Young  Bryce Young,QB,22,6900922,3.07,-37955072.0,25353688,2028
6,Ekwonu  Ikem Ekwonu,LT,23,6265466,2.79,-22555678.0,1958093,2027
7,Horn  Jaycee Horn,CB,24,5757858,2.56,-12475359.0,2579286,2026
8,Luvu  Frankie Luvu,ED,27,5500000,2.45,-5115000.0,4000000,2024
9,Woods  Xavier Woods,SS,28,4439166,1.97,-7698336.0,4365000,2025
10,Thomas  Ian Thomas,TE,27,3768430,1.68,-7333334.0,2911764,2025
11,Henderson  C.J. Henderson,CB,25,3407639,1.52,-3407639.0,3407639,2024
12,Chinn  Jeremy Chinn,FS,25,3335995,1.48,-417995.0,2993000,2024
13,Thielen  Adam Thielen,WR,33,3332000,1.48,-14000000.0,10000000,2026
14,Haynes  Marquis Haynes,DL,30,3309703,1.47,-1700000.0,2809703,2024
15,Bell  Vonn Bell,FS,29,3110000,1.38,-13000000.0,7000000,2026
16,Tuttle  Shy Tuttle,DL,28,2886666,1.28,-13000000.0,6500000,2026
17,Bozeman  Bradley Bozeman,C,29,2720000,1.21,-10000000.0,6000000,2026
18,Gross-Matos  Yetur Gross-Matos,DL,25,2608711,1.16,-980692.0,1728019,2024
19,Sanders  Miles Sanders,RB,26,2555000,1.14,-11000000.0,6980000,2027
20,Hekker  Johnny Hekker,P,33,2148666,0.96,-4083334.0,2750000,2025
21,Dalton  Andy Dalton,QB,36,2132000,0.95,-8000000.0,6000000,2025
22,Chark  DJ Chark,WR,27,1864000,0.83,-5000000.0,5000000,2024
23,Williams  DeShawn Williams,DL,31,1750000,0.78,-1750000.0,1750000,2024
24,Marshall  Terrace Marshall,WR,23,1562587,0.7,-839200.0,1180862,2025
25,Pineiro  Eddy Pineiro,K,28,1555000,0.69,-2100000.0,2100000,2025
26,Tremble  Tommy Tremble,TE,23,1343573,0.6,-639288.0,1107858,2025
27,Franklin  Sam Franklin,S,27,1310000,0.58,-1500000.0,2510000,2024
28,Hubbard  Chuba Hubbard,RB,24,1118294,0.5,-356588.0,940000,2025
29,Jansen  J.J. Jansen,LS,37,1092500,0.49,-1317500.0,1317500,2024
30,Grugier-Hill  Kamu Grugier-Hill,ED,29,1092500,0.49,-1317500.0,1317500,2024
31,Hill  Troy Hill,CB,32,1040000,0.46,-1265000.0,1265000,2024
32,Johnson  D.J. Johnson,ED,25,1000543,0.45,-1002172.0,1752172,2027
33,Smith-Marsette  Ihmir Smith-Marsette,WR,24,940000,0.42,,940000,2024
34,Mays  Cade Mays,G,24,913269,0.41,-129807.0,870000,2026
35,Griffin  Shaquill Griffin,CB,28,882343,0.39,-499998.0,882343,2024
36,Thurman  Nick Thurman,DL,28,870000,0.39,,870000,2025
37,Blackshear  Raheem Blackshear,RB,25,870000,0.39,,870000,2024
38,Jones  Deion Jones,LB,29,835556,0.37,,835556,2024
39,Robinson  Jammie Robinson,S,22,832383,0.37,-329532.0,1079532,2027
40,Sullivan  Stephen Sullivan,WR,27,817778,0.36,,817778,2024
41,Jensen  Nash Jensen,G,24,758333,0.34,-175000.0,775000,2026
42,Lee  Ricky Lee,RT,24,751666,0.33,-5000.0,755000,2026
43,Ray  LaBryan Ray,DL,26,750000,0.33,,750000,2025
44,Jamison  D’Shawn Jamison,CB,24,750000,0.33,-120000.0,750000,2026
45,Cook  Alex Cook,S,24,500000,0.22,,500000,2025
46,Sharpe  David Sharpe,T,28,417776,0.19,,480000,2024
47,Davis  Tae Davis,LB,27,417776,0.19,,480000,2024
48,Leota  Eku Leota,LB,24,333336,0.15,,333336,2025
49,Strachan  Mike Strachan,WR,26,313332,0.14,,313332,2025
50,Wormley  Chris Wormley,DL,30,208888,0.09,,240000,2024
51,Jackson  Gabe Jackson,G,32,129444,0.06,,129444,2024
52,Manning  Ilm Manning,T,24,83334,0.04,,83334,2025
53,DiRenzo  J.D. DiRenzo,RT,25,41667,0.02,,41667,2025
