Unnamed: 0,Player (109),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Robinson  Allen Robinson,WR,28,17980000,9.85,-17980000.0,17980000,2022.0
2,Hicks  Akiem Hicks,DL,32,12000000,6.58,-12000000.0,10500000,2022.0
3,Quinn  Robert Quinn,ED,31,11287500,6.18,-24000000.0,11600000,2023.0
4,Goldman  Eddie Goldman,DL,27,7800000,4.27,-12950000.0,4850000,2024.0
5,Foles  Nick Foles,QB,32,6666666,3.65,-14333334.0,4000000,2023.0
6,Smith  Roquan Smith,LB,24,6049099,3.31,-6049099.0,3169613,2023.0
7,Graham  Jimmy Graham,TE,35,5340000,2.93,-10000000.0,7000000,2022.0
8,Whitehair  Cody Whitehair,C,29,5200000,2.85,-17710000.0,6500000,2025.0
9,Jackson  Eddie Jackson,FS,28,5090000,2.79,-23640000.0,9050000,2025.0
10,Dalton  Andy Dalton,QB,34,5000000,2.74,-10000000.0,10000000,2022.0
11,Daniels  James Daniels,G,24,2966667,1.63,-783667.0,2183000,2022.0
12,Ifedi  Germain Ifedi,RT,27,2750000,1.51,-4250000.0,4250000,2022.0
13,Ifedi  Germain Ifedi,RT,27,2750000,1.51,-4250000.0,4250000,2022.0
14,Nichols  Bilal Nichols,DL,25,2257872,1.24,-74872.0,2183000,2022.0
15,Blackson  Angelo Blackson,DL,29,2000000,1.1,-3000000.0,3000000,2023.0
16,Blackson  Angelo Blackson,DL,29,2000000,1.1,-3000000.0,3000000,2023.0
17,Gipson  Tashaun Gipson,FS,31,1805000,0.99,-1325000.0,2555000,2022.0
18,Gipson  Tashaun Gipson,FS,31,1805000,0.99,-1325000.0,2555000,2022.0
19,Kmet  Cole Kmet,TE,22,1722222,0.94,-3257778.0,954444,2024.0
20,Edwards  Mario Edwards,DL,27,1604019,0.88,-5500097.0,4500097,2024.0
21,Santos  Cairo Santos,K,30,1575000,0.86,-3575000.0,3575000,2024.0
22,Jenkins  Teven Jenkins,T,23,1525063,0.84,-4501518.0,4120252,2025.0
23,Peters  Jason Peters,LT,39,1525000,0.84,-1325000.0,1525000,2022.0
24,Peters  Jason Peters,LT,39,1525000,0.84,-1325000.0,1525000,2022.0
25,Johnson  Jaylon Johnson,CB,22,1470175,0.81,-2602455.0,904035,2024.0
26,James  Jesse James,TE,27,1162500,0.64,-1650000.0,1650000,2022.0
27,James  Jesse James,TE,27,1162500,0.64,-1650000.0,1650000,2022.0
28,Williams  Damien Williams,RB,29,1125000,0.62,-1375000.0,1500000,2022.0
29,Williams  Damien Williams,RB,29,1125000,0.62,-1375000.0,1500000,2022.0
30,Montgomery  David Montgomery,RB,24,1111577,0.61,-523090.0,850032,2023.0
31,Iyiegbuniwe  Joel Iyiegbuniwe,LB,26,1089645,0.6,-169645.0,920000,2022.0
32,Iyiegbuniwe  Joel Iyiegbuniwe,LB,26,1089645,0.6,-169645.0,920000,2022.0
33,O'Donnell  Pat O'Donnell,P,30,1075000,0.59,-1750000.0,1750000,2022.0
34,O'Donnell  Pat O'Donnell,P,30,1075000,0.59,-1750000.0,1750000,2022.0
35,Bush  Deon Bush,S,28,990000,0.54,-1500000.0,1500000,2022.0
36,Bush  Deon Bush,S,28,990000,0.54,-1500000.0,1500000,2022.0
37,Goodwin  Marquise Goodwin,WR,31,987500,0.54,-1212500.0,1212500,2022.0
38,Goodwin  Marquise Goodwin,WR,31,987500,0.54,-1212500.0,1212500,2022.0
39,Jones  Christian Jones,LB,30,987500,0.54,-1212500.0,1212500,2022.0
40,Jones  Christian Jones,LB,30,987500,0.54,-1212500.0,1212500,2022.0
41,Jones  Christian Jones,LB,30,987500,0.54,-1212500.0,1212500,2022.0
42,Scales  Patrick Scales,LS,33,987500,0.54,-1127500.0,1127500,2022.0
43,Scales  Patrick Scales,LS,33,987500,0.54,-1127500.0,1127500,2022.0
44,Scales  Patrick Scales,LS,33,987500,0.54,-1127500.0,1127500,2022.0
45,Byrd  Damiere Byrd,WR,28,987500,0.54,-1127500.0,1127500,2022.0
46,Byrd  Damiere Byrd,WR,28,987500,0.54,-1127500.0,1127500,2022.0
47,Byrd  Damiere Byrd,WR,28,987500,0.54,-1127500.0,1127500,2022.0
48,Wilkinson  Elijah Wilkinson,LT,26,987500,0.54,-1127500.0,1127500,2022.0
49,Wilkinson  Elijah Wilkinson,LT,26,987500,0.54,-1127500.0,1127500,2022.0
50,Wilkinson  Elijah Wilkinson,LT,26,987500,0.54,-1127500.0,1127500,2022.0
51,Shelley  Duke Shelley,CB,25,881960,0.48,-63920.0,850000,2023.0
52,Shelley  Duke Shelley,CB,25,881960,0.48,-63920.0,850000,2023.0
53,Shelley  Duke Shelley,CB,25,881960,0.48,-63920.0,850000,2023.0
54,Gipson  Trevis Gipson,ED,24,861418,0.47,-244254.0,780000,2024.0
55,Gipson  Trevis Gipson,ED,24,861418,0.47,-244254.0,780000,2024.0
56,Gipson  Trevis Gipson,ED,24,861418,0.47,-244254.0,780000,2024.0
