Unnamed: 0,Player (63),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Burrow  Joe Burrow,QB,30,47999784.0,15.82,-56250000.0,35250000.0,2030.0
2,Higgins  Tee Higgins,WR,27,26514706.0,8.74,-21250000.0,23000000.0,2029.0
3,Chase  Ja'Marr Chase,WR,26,26171667.0,8.62,-50330000.0,33830000.0,2030.0
4,Brown Jr.  Orlando Brown Jr.,LT,30,21998000.0,7.25,-7775000.0,14223000.0,2027.0
5,Hill  Daxton Hill,CB,26,12682000.0,4.18,-9267000.0,12682000.0,2027.0
6,Hill  B.J. Hill,DL,31,12116666.0,3.99,-7333334.0,8450000.0,2028.0
7,Slaton  Tedarrell Slaton,DL,29,9160000.0,3.02,-2500000.0,6160000.0,2027.0
8,Gesicki  Mike Gesicki,TE,31,7666666.0,2.53,-4333334.0,5500000.0,2028.0
9,McPherson  Evan McPherson,K,27,4983333.0,1.64,-4166667.0,2900000.0,2028.0
10,Karras  Ted Karras,C,33,4500000.0,1.48,-500000.0,4000000.0,2027.0
11,Stewart  Shemar Stewart,ED,23,4311199.0,1.42,-15520317.0,1702240.0,2030.0
12,Mims  Amarius Mims,RT,24,4192243.0,1.38,-9083193.0,2192414.0,2029.0
13,Turner  D.J. Turner,CB,26,4082008.0,1.35,-370008.0,3712000.0,2027.0
14,Murphy  Myles Murphy,ED,24,4005038.0,1.32,-4005038.0,2466445.0,2028.0
15,Battle  Jordan Battle,S,26,3930185.0,1.3,-218185.0,3712000.0,2027.0
16,Brown  Chase Brown,RB,26,3783539.0,1.25,-71539.0,3712000.0,2027.0
17,Iosivas  Andrei Iosivas,WR,27,3751846.0,1.24,-39846.0,3712000.0,2027.0
18,Ford  Cody Ford,LT,30,3400000.0,1.12,-500000.0,2900000.0,2027.0
19,Sample  Drew Sample,TE,30,2835294.0,0.93,,2850000.0,2027.0
20,Burks  Oren Burks,LB,31,2675000.0,0.88,-375000.0,2300000.0,2027.0
21,Jenkins  Kris Jenkins,DL,25,2143763.0,0.71,-2264678.0,1509588.0,2028.0
22,Knight Jr.  Demetrius Knight Jr.,LB,26,2048294.0,0.68,-5475572.0,1249658.0,2029.0
23,Perine  Samaje Perine,RB,31,2000000.0,0.66,-200000.0,1800000.0,2027.0
24,Jackson  McKinnley Jackson,DL,25,1526267.0,0.5,-445022.0,1303756.0,2028.0
25,Fairchild  Dylan Fairchild,G,23,1459359.0,0.48,-982461.0,1131872.0,2029.0
26,Jones  Charlie Jones,WR,28,1314694.0,0.43,-169694.0,1145000.0,2027.0
27,All  Erick All,TE,26,1273276.0,0.42,-396552.0,1075000.0,2028.0
28,Carter  Barrett Carter,LB,24,1250529.0,0.41,-736587.0,1005000.0,2029.0
29,Giles-Harris  Joe Giles-Harris,LB,29,1235000.0,0.41,,1235000.0,2027.0
30,Ivey  D.J. Ivey,CB,26,1165163.0,0.38,-20163.0,1145000.0,2027.0
31,Newton  Josh Newton,CB,26,1159319.0,0.38,-168638.0,1075000.0,2028.0
32,Brightwell  Gary Brightwell,RB,27,1145000.0,0.38,,1145000.0,2027.0
33,Yeast  Russ Yeast,S,27,1145000.0,0.38,,1145000.0,2027.0
34,Foskey  Isaiah Foskey,LB,26,1145000.0,0.38,,1145000.0,2027.0
35,Hudson  Tanner Hudson,TE,32,1125000.0,0.37,-50000.0,1350000.0,2027.0
36,Rivers  Jalen Rivers,G,24,1110245.0,0.37,-947205.0,1005000.0,2029.0
37,Johnson  Cedric Johnson,ED,24,1109597.0,0.37,-69194.0,1075000.0,2028.0
38,Anthony  Daijahn Anthony,S,26,1104446.0,0.36,-58892.0,1075000.0,2028.0
39,Lee  Matt Lee,C,25,1100438.0,0.36,-50876.0,1075000.0,2028.0
40,Heyward  Shaka Heyward,LB,26,1095000.0,0.36,,1095000.0,2027.0
41,Pryor  Kendric Pryor,WR,28,1075000.0,0.35,,1075000.0,2027.0
42,Clifford  Sean Clifford,QB,28,1075000.0,0.35,,1075000.0,2027.0
43,Tinsley  Mitchell Tinsley,WR,27,1075000.0,0.35,,1075000.0,2027.0
44,Jefferson  Jordan Jefferson,DL,25,1075000.0,0.35,,1075000.0,2028.0
45,Rehkow  Ryan Rehkow,P,28,1075000.0,0.35,,1075000.0,2027.0
46,Grandy  Cam Grandy,TE,26,1075000.0,0.35,,1075000.0,2027.0
47,Brooks  Tahj Brooks,RB,24,1062714.0,0.35,-173142.0,1005000.0,2029.0
48,Wagner  William Wagner,LS,26,1008333.0,0.33,-6667.0,1005000.0,2028.0
49,Anderson  Liam Anderson,LB,26,1005000.0,0.33,,1005000.0,2027.0
50,Foster  Javon Foster,RT,26,1005000.0,0.33,,1005000.0,2027.0
51,Jules  P.J. Jules,S,28,1005000.0,0.33,,1005000.0,2027.0
52,Williams  Ke’Shawn Williams,WR,25,1005000.0,0.33,,1005000.0,2027.0
53,Cross  Howard Cross,DL,25,1005000.0,0.33,,1005000.0,2027.0
54,Lux  Bralyn Lux,CB,26,1005000.0,0.33,,1005000.0,2027.0
55,Meyers  Dohnte Meyers,WR,26,888333.0,0.29,-10000.0,895000.0,2029.0
56,Coker  Andrew Coker,RT,25,885000.0,0.29,,885000.0,2027.0
57,Johnson  Xavier Johnson,WR,27,885000.0,0.29,,885000.0,2027.0
58,Powell-Ryland  Antwaun Powell-Ryland,LB,24,885000.0,0.29,,885000.0,2027.0
59,Bayer  Jacob Bayer,C,24,885000.0,0.29,,885000.0,2027.0
60,Moore  Jordan Moore,WR,24,885000.0,0.29,,885000.0,2027.0
61,Kimber  Jalen Kimber,S,25,885000.0,0.29,,885000.0,2027.0
62,Davis  Jalen Davis,CB,30,,,,,
