Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Taylor  Tyrod Taylor,QB,29,16000000,9.03,-16000000.0,16000000,2019
2,Landry  Jarvis Landry,WR,26,15500000,8.75,-34000000.0,21500000,2023
3,Collins  Jamie Collins,LB,29,12400000,7.0,-14500000.0,11150000,2021
4,Zeitler  Kevin Zeitler,G,28,12400000,7.0,-23100000.0,10000000,2022
5,Garrett  Myles Garrett,ED,23,6911876,3.9,-24882754.0,1847375,2022
6,Tretter  J.C. Tretter,C,27,6750000,3.81,-8000000.0,5250000,2020
7,Bitonio  Joel Bitonio,G,27,6000000,3.39,-6835223.0,6000000,2023
8,Mayfield  Baker Mayfield,QB,23,5942360,3.35,-32682980.0,22329440,2023
9,Hubbard  Chris Hubbard,RT,27,5800000,3.27,-9000000.0,9000000,2022
10,Ward  Denzel Ward,CB,21,5302792,2.99,-29165356.0,19771168,2023
11,Carrie  Travis Carrie,CB,28,5300000,2.99,-5600000.0,8000000,2022
12,Johnson  Duke Johnson,RB,25,3894523,2.2,-6144523.0,5967000,2022
13,Fells  Darren Fells,TE,32,3600000,2.03,-4750000.0,5000000,2021
14,Smith  Chris Smith,ED,26,2666666,1.5,-4600000.0,5000000,2021
15,Colquitt  Britton Colquitt,P,33,2550000,1.44,-2550000.0,2550000,2021
16,Mitchell  Terrance Mitchell,CB,26,2466666,1.39,-3600000.0,3800000,2021
17,Peppers  Jabrill Peppers,SS,23,2350451,1.33,-6586356.0,935090,2022
18,Stanton  Drew Stanton,QB,34,2265625,1.28,-4250000.0,3265625,2020
19,Njoku  David Njoku,TE,22,2164794,1.22,-7793261.0,897959,2022
20,Ogbah  Emmanuel Ogbah,ED,25,1802629,1.02,-2103506.0,1050876,2020
21,Randall  Damarious Randall,FS,26,1514418,0.85,,1514418,2020
22,Corbett  Austin Corbett,G,23,1376000,0.78,-5234718.0,4064000,2022
23,Chubb  Nick Chubb,RB,23,1342381,0.76,-5896309.0,3929524,2022
24,Watford  Earl Watford,RT,28,950000,0.54,-790000.0,950000,2019
25,Ogunjobi  Larry Ogunjobi,DL,24,887891,0.5,-736173.0,642500,2021
26,Robinson  Greg Robinson,LT,26,790000,0.45,-790000.0,790000,2019
27,Schobert  Joe Schobert,LB,25,788489,0.45,-316978.0,630000,2020
28,Kindred  Derrick Kindred,S,25,754839,0.43,-249678.0,630000,2020
29,Thomas  Chad Thomas,ED,23,742235,0.42,-1048940.0,1528940,2022
30,Devalve  Seth Devalve,TE,25,725848,0.41,-191697.0,630000,2020
31,Davis  Carl Davis,DL,26,720750,0.41,,720750,2019
32,Hughlett  Charley Hughlett,LS,28,705000,0.4,,705000,2023
33,Callaway  Antonio Callaway,WR,21,659463,0.37,-717853.0,1155626,2022
34,Higgins  Rashard Higgins,WR,24,630000,0.36,,630000,2019
35,Zettel  Anthony Zettel,ED,26,630000,0.36,,630000,2020
36,Boddy-Calhoun  Briean Boddy-Calhoun,CB,25,630000,0.36,,630000,2019
37,Armstrong  Ray-Ray Armstrong,LB,27,588235,0.33,,588235,2019
38,Coley  Trevon Coley,DL,24,555000,0.31,,555000,2019
39,Avery  Genard Avery,LB,23,552236,0.31,-288947.0,768947,2022
40,Ratley  Damion Ratley,WR,23,528466,0.3,-193866.0,673866,2022
41,Price  Brian Price,DL,24,518812,0.29,,518812,2020
42,Perriman  Breshad Perriman,WR,25,497647,0.28,,497647,2019
43,Harrison  Desmond Harrison,LT,25,486666,0.27,-20000.0,500000,2021
44,Thomas  Tavierre Thomas,S,22,480000,0.27,,480000,2021
45,Hines  D’Juan Hines,LB,24,423529,0.24,,423529,2020
46,Joseph  Greg Joseph,K,24,423529,0.24,,423529,2020
47,Hilliard  Dontrell Hilliard,RB,23,338820,0.19,,338820,2020
48,Gaines  Phillip Gaines,CB,27,296471,0.17,-790000.0,296471,2019
49,Burris  Juston Burris,CB,25,296470,0.17,,296470,2019
50,Whitehead  Jermaine Whitehead,FS,25,261176,0.15,,261176,2019
51,Kalis  Kyle Kalis,T,25,163235,0.09,,163235,2020
52,Woodson-Luster  Xavier Woodson-Luster,LB,23,97941,0.06,,97941,2020
53,Jackson  Blake Jackson,WR,24,28235,0.02,,28235,2021
