Unnamed: 0,Player (78),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Prescott  Dak Prescott,QB,29,19730000,9.48,-108800000.0,20000000,2025
2,Elliott  Ezekiel Elliott,RB,27,18220000,8.75,-30080000.0,12400000,2027
3,Smith  Tyron Smith,LT,32,17505000,8.41,-12015000.0,13500000,2024
4,Lawrence  DeMarcus Lawrence,DL,30,14000000,6.72,-49000000.0,15000000,2025
5,Martin  Zack Martin,G,32,12031000,5.78,-27250000.0,9841000,2025
6,Schultz  Dalton Schultz,TE,26,10931000,5.25,-10931000.0,10931000,2023
7,Gallup  Michael Gallup,WR,26,4529412,2.18,-23000000.0,12823522,2027
8,Parsons  Micah Parsons,ED,23,3881771,1.86,-13974375.0,1436354,2026
9,Lamb  CeeDee Lamb,WR,23,3820912,1.84,-8278643.0,1883637,2025
10,Kearse  Jayron Kearse,S,28,3720576,1.79,-5000000.0,5411754,2024
11,Armstrong  Dorance Armstrong,DL,25,3382356,1.62,-6000000.0,6750000,2024
12,Fowler Jr.  Dante Fowler Jr.,DL,28,2911754,1.4,-1000000.0,2970576,2023
13,Fowler Jr.  Dante Fowler Jr.,DL,28,2911754,1.4,-1000000.0,2970576,2023
14,McGovern  Connor McGovern,G,25,2760527,1.33,-220527.0,2540000,2023
15,Hooker  Malik Hooker,S,26,2591180,1.24,-2000000.0,3470592,2024
16,Smith  Tyler Smith,LT,21,2434386,1.17,-13389122.0,7622544,2027
17,Anger  Bryan Anger,P,34,2200000,1.06,-3800000.0,3800000,2025
18,Vander Esch  Leighton Vander Esch,LB,26,2000000,0.96,-1750000.0,1955884,2023
19,Vander Esch  Leighton Vander Esch,LB,26,2000000,0.96,-1750000.0,1955884,2023
20,Barr  Anthony Barr,ED,30,1911764,0.92,,1955870,2023
21,Barr  Anthony Barr,ED,30,1911764,0.92,,1955870,2023
22,Peters  Jason Peters,LT,40,1826731,0.88,-1760555.0,1817899,2023
23,Peters  Jason Peters,LT,40,1826731,0.88,-1760555.0,1817899,2023
24,Joseph  Kelvin Joseph,CB,22,1768446,0.85,-3277960.0,1013689,2025
25,Joseph  Kelvin Joseph,CB,22,1768446,0.85,-3277960.0,1013689,2025
26,Diggs  Trevon Diggs,CB,25,1723884,0.83,-1078512.0,1184628,2024
27,Diggs  Trevon Diggs,CB,25,1723884,0.83,-1078512.0,1184628,2024
28,Goodwin  C.J. Goodwin,CB,32,1500000,0.72,,1500000,2023
29,Goodwin  C.J. Goodwin,CB,32,1500000,0.72,,1500000,2023
30,Gallimore  Neville Gallimore,DL,25,1276486,0.61,-481982.0,1035495,2024
31,Gallimore  Neville Gallimore,DL,25,1276486,0.61,-481982.0,1035495,2024
32,Williams  Sam Williams,DL,23,1207305,0.58,-2997141.0,2714220,2026
33,Williams  Sam Williams,DL,23,1207305,0.58,-2997141.0,2714220,2026
34,Odighizuwa  Osa Odighizuwa,DL,24,1155952,0.56,-794286.0,891190,2025
35,Pollard  Tony Pollard,RB,25,1131945,0.54,-166945.0,965000,2023
36,Golston  Chauncey Golston,DL,24,1117406,0.54,-701775.0,883481,2025
37,Gifford  Luke Gifford,LB,27,1115000,0.54,-150000.0,1115000,2023
38,Wright  Nahshon Wright,CB,24,1087694,0.52,-630465.0,877539,2025
39,Wright  Nahshon Wright,CB,24,1087694,0.52,-630465.0,877539,2025
40,Brown  Noah Brown,WR,26,1047500,0.5,-152500.0,1187500,2023
41,Biadasz  Tyler Biadasz,C,25,1018600,0.49,-247200.0,895000,2024
42,Cox  Jabril Cox,ED,24,1017813,0.49,-578439.0,825000,2025
43,Cox  Jabril Cox,ED,24,1017813,0.49,-578439.0,825000,2025
44,Wilson  Donovan Wilson,S,25,996839,0.48,-31839.0,965000,2023
45,Tolbert  Jalen Tolbert,WR,23,933767,0.45,-915068.0,1620068,2026
46,Tolbert  Jalen Tolbert,WR,23,933767,0.45,-915068.0,1620068,2026
47,Maher  Brett Maher,K,33,911387,0.44,,911387,2023
48,Maher  Brett Maher,K,33,911387,0.44,,911387,2023
49,Ferguson  Jake Ferguson,TE,23,881221,0.42,-704884.0,1409884,2026
50,Bohanna  Quinton Bohanna,DL,23,872118,0.42,-141354.0,825000,2025
51,Bohanna  Quinton Bohanna,DL,23,872118,0.42,-141354.0,825000,2025
52,Mukuamu  Israel Mukuamu,CB,23,857677,0.41,-98031.0,825000,2025
53,Mukuamu  Israel Mukuamu,CB,23,857677,0.41,-98031.0,825000,2025
54,Rush  Cooper Rush,QB,29,845278,0.41,,977500,2023
55,Ball  Josh Ball,T,24,829836,0.4,-374508.0,705000,2025
56,Ball  Josh Ball,T,24,829836,0.4,-374508.0,705000,2025
57,Hilton  T.Y. Hilton,WR,33,800000,0.38,-600000.0,850000,2023
58,Hilton  T.Y. Hilton,WR,33,800000,0.38,-600000.0,850000,2023
59,Bland  DaRon Bland,CB,23,781197,0.38,-304788.0,1009788,2026
60,Bell  Markquese Bell,S,23,710000,0.34,-215000.0,720000,2025
61,Hendershot  Peyton Hendershot,TE,23,710000,0.34,-165000.0,720000,2025
62,Hendershot  Peyton Hendershot,TE,23,710000,0.34,-165000.0,720000,2025
63,Turpin  Kavontae Turpin,WR,26,705000,0.34,,705000,2025
64,Clark  Damone Clark,LB,22,704527,0.34,-242552.0,886441,2026
65,Clark  Damone Clark,LB,22,704527,0.34,-242552.0,886441,2026
66,Overton  Matt Overton,LS,37,646386,0.31,,808886,2023
67,Overton  Matt Overton,LS,37,646386,0.31,,808886,2023
68,Watkins  Carlos Watkins,DL,29,596664,0.29,,690000,2023
69,Watkins  Carlos Watkins,DL,29,596664,0.29,,690000,2023
70,Denbow  Trevor Denbow,S,24,587782,0.28,-25000.0,597782,2025
71,Denbow  Trevor Denbow,S,24,587782,0.28,-25000.0,597782,2025
72,Mullen  Trayvon Mullen,CB,25,564444,0.27,,564444,2023
73,Mullen  Trayvon Mullen,CB,25,564444,0.27,,564444,2023
74,McKeon  Sean McKeon,TE,25,546942,0.26,,546942,2024
75,McKeon  Sean McKeon,TE,25,546942,0.26,,546942,2024
76,Davis  Malik Davis,RB,24,430833,0.21,,430833,2024
77,Grier  Will Grier,QB,27,214444,0.1,,214444,2024
78,Grier  Will Grier,QB,27,214444,0.1,,214444,2024
