Unnamed: 0,Player (21),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Allen  Zach Allen,DL,31,37340000.0,11.16,-12425000.0,22500000.0,2030
2,Sutton  Courtland Sutton,WR,33,29975000.0,8.96,-9775000.0,21500000.0,2030
3,Surtain II  Patrick Surtain II,CB,28,29200000.0,8.73,-17400000.0,20000000.0,2030
4,Bonitto  Nik Bonitto,ED,29,28706200.0,8.58,-8800000.0,21500000.0,2030
5,Bolles  Garett Bolles,LT,36,25887000.0,7.74,-2000000.0,20500000.0,2029
6,Meinerz  Quinn Meinerz,G,30,22355000.0,6.68,-6410000.0,18000000.0,2029
7,Cooper  Jonathon Cooper,ED,30,15500000.0,4.63,-2800000.0,13500000.0,2029
8,Hufanga  Talanoa Hufanga,S,29,14792000.0,4.42,-3000000.0,,2028
9,Wattenberg  Luke Wattenberg,C,31,8157000.0,2.44,,11000000.0,2030
10,Roach  Malcolm Roach,DL,30,6435333.0,1.92,-1000000.0,10300000.0,2029
11,Barron  Jahdae Barron,CB,27,5750556.0,1.72,-5750556.0,3304524.0,2029
12,Lutz  Wil Lutz,K,34,4165666.0,1.25,-2080000.0,5500000.0,2029
13,Jones  D.J. Jones,DL,33,3200000.0,0.96,-3200000.0,,2028
14,McGlinchey  Mike McGlinchey,RT,34,2775000.0,0.83,-2775000.0,,2028
15,Harvey  RJ Harvey,RB,27,2341716.0,0.7,-498123.0,1843593.0,2029
16,Powers  Ben Powers,G,32,2175000.0,0.65,,,2027
17,Bryant  Pat Bryant,WR,26,2093980.0,0.63,-356560.0,1737420.0,2029
18,Jones  Sai'vion Jones,DL,25,1960377.0,0.59,-280215.0,1680162.0,2029
19,Robinson  Que Robinson,ED,27,1448564.0,0.43,-213564.0,1235000.0,2029
20,Crawshaw  Jeremy Crawshaw,P,27,1278570.0,0.38,-43570.0,1235000.0,2029
21,Nix  Bo Nix,QB,28,,,,,2029
