Unnamed: 0,Player (81),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Stafford  Matthew Stafford,QB,30,26500000,14.95,-75500000.0,16500000,2023
2,Quin  Glover Quin,FS,32,6516666,3.68,-7933334.0,4850000,2020
3,Slay  Darius Slay,CB,27,6110644,3.45,-11676269.0,3210644,2021
4,Wagner  Ricky Wagner,RT,29,5900000,3.33,-14600000.0,3000000,2022
5,Harrison  Damon Harrison,DL,30,4558823,2.57,-4558824.0,4558823,2021
6,Kennard  Devon Kennard,LB,27,4350000,2.45,-7600000.0,7850000,2021
7,Riddick  Theo Riddick,RB,27,4125000,2.33,-4750000.0,3162500,2020
8,Lawson  Nevin Lawson,CB,27,3925000,2.22,-4650000.0,5050000,2020
9,Prater  Matt Prater,K,34,3200000,1.81,-4800000.0,2300000,2021
10,Wilson  Tavon Wilson,SS,28,3128125,1.77,-3300000.0,4003125,2020
11,Decker  Taylor Decker,LT,25,2990994,1.69,-6480488.0,1446998,2021
12,Martin  Sam Martin,P,28,2925000,1.65,-3925000.0,2425000,2020
13,Willson  Luke Willson,TE,28,2500000,1.41,-2500000.0,2500000,2019
14,Davis  Jarrad Davis,LB,24,2492995,1.41,-7013988.0,963599,2021
15,Jones  Christian Jones,LB,27,2475000,1.4,-3050000.0,3350000,2020
16,Diggs  Quandre Diggs,SS,25,2153838,1.22,-7528838.0,5500000,2022
17,Ragnow  Frank Ragnow,C,22,2141843,1.21,-9213758.0,7127375,2023
18,Blount  LeGarrette Blount,RB,32,2000000,1.13,-2000000.0,2000000,2019
19,Jones  TJ Jones,WR,26,1907000,1.08,,1907000,2019
20,Harold  Eli Harold,LB,24,1892000,1.07,,1892000,2019
21,Wiggins  Kenny Wiggins,G,30,1875000,1.06,-2000000.0,2250000,2020
22,Toilolo  Levine Toilolo,TE,27,1500000,0.85,-1500000.0,1500000,2019
23,Tabor  Jalen Tabor,CB,23,1096131,0.62,-1919943.0,684226,2021
24,Cooper  Marcus Cooper,CB,28,1067647,0.6,-317647.0,1067647,2019
25,Glasgow  Graham Glasgow,C,26,809855,0.46,-322710.0,954879,2020
