Unnamed: 0,Player (15),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Love  Jordan Love,QB,30,74200000.0,22.18,-15000000.0,45000000.0,2029
2,Parsons  Micah Parsons,ED,29,42288600.0,12.64,-17600000.0,41000000.0,2030
3,Tom  Zach Tom,RT,29,24040000.0,7.19,-12080000.0,18000000.0,2030
4,Banks  Aaron Banks,G,31,20750000.0,6.2,-6750000.0,14000000.0,2029
5,Hobbs  Nate Hobbs,CB,29,14700000.0,4.39,-4000000.0,10700000.0,2029
6,Golden  Matthew Golden,WR,25,5592153.0,1.67,-5592153.0,3236637.0,2030
7,Belton  Anthony Belton,RT,27,2550807.0,0.76,-617604.0,1933203.0,2029
8,Williams  Savion Williams,WR,27,2002145.0,0.6,-304082.0,1698063.0,2029
9,Orzech  Matthew Orzech,LS,33,1592500.0,0.48,-187500.0,1405000.0,2029
10,Sorrell  Barryn Sorrell,ED,26,1470463.0,0.44,-235463.0,1235000.0,2029
11,Oliver  Collin Oliver,ED,26,1335833.0,0.4,-100833.0,1235000.0,2029
12,Brinson  Warren Brinson,DL,26,1291596.0,0.39,-56596.0,1235000.0,2029
13,Williams  John Williams,G,26,1260418.0,0.38,-25418.0,1235000.0,2029
14,Watson  Christian Watson,WR,29,,,,,2027
15,Morgan  Jordan Morgan,LT,27,,,,,2029
