Unnamed: 0,Player (52),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Watson  Deshaun Watson,QB,26,15940000,8.73,-67140000.0,10540000,2026.0
2,Murray  Eric Murray,SS,27,7455882,4.09,-8000000.0,5985280,2023.0
3,Cooks  Brandin Cooks,WR,28,5588236,3.06,-13000000.0,13141168,2023.0
4,Taylor  Tyrod Taylor,QB,32,5323529,2.92,-5000000.0,5323529,2022.0
5,Johnson  David Johnson,RB,30,4779411,2.62,-4250000.0,4779411,2022.0
6,Collins  Maliek Collins,DL,26,4705882,2.58,-4000000.0,4705882,2022.0
7,Fairbairn  Ka'imi Fairbairn,K,27,4200000,2.3,-5700000.0,3450000,2024.0
8,Mitchell  Terrance Mitchell,CB,29,3720588,2.04,-3000000.0,3911754,2023.0
9,Howard  Tytus Howard,RT,25,3334241,1.83,-7224189.0,1606414,2024.0
10,King  Desmond King,CB,27,3191176,1.75,-2500000.0,3191176,2022.0
11,Pierre-Louis  Kevin Pierre-Louis,ED,30,2823529,1.55,-2750000.0,3191170,2023.0
12,Reid  Justin Reid,FS,24,2692914,1.48,-259914.0,2433000,2022.0
13,Kirksey  Christian Kirksey,LB,29,2647058,1.45,-1500000.0,2147058,2022.0
14,Grugier-Hill  Kamu Grugier-Hill,LB,27,2441165,1.34,-1000000.0,2441165,2022.0
15,Britt  Justin Britt,C,30,2423528,1.33,-2000000.0,2423528,2022.0
16,Akins  Jordan Akins,TE,29,2373380,1.3,-190380.0,2183000,2022.0
17,Jenkins  Jordan Jenkins,DL,27,2352932,1.29,-2500000.0,2823521,2023.0
18,Johnston  Cameron Johnston,P,29,2333333,1.28,-3000000.0,3000000,2024.0
19,Moore  A.J. Moore,S,26,2133000,1.17,,2133000,2022.0
20,Hewitt  Neville Hewitt,ED,28,1970588,1.08,-1200000.0,1970588,2022.0
21,Blacklock  Ross Blacklock,DL,23,1806236,0.99,-3476214.0,971247,2024.0
22,Amendola  Danny Amendola,WR,36,1747058,0.96,,1747058,2022.0
23,Thomas  Tavierre Thomas,CB,25,1735294,0.95,-2000000.0,2250000,2023.0
24,McCray  Justin McCray,G,29,1732353,0.95,-1700000.0,1982352,2023.0
25,Brooks  Terrence Brooks,FS,29,1679406,0.92,-1350000.0,1679406,2022.0
26,Burkhead  Rex Burkhead,RB,31,1647059,0.9,-1250000.0,1897059,2022.0
27,Conley  Chris Conley,WR,29,1500000,0.82,-1500000.0,1500000,2022.0
28,Brown  Pharaoh Brown,TE,27,1494117,0.82,,1494117,2022.0
29,Walker  DeMarcus Walker,DL,27,1452941,0.8,-1300000.0,1452941,2022.0
30,Johnson  Lonnie Johnson,CB,24,1422042,0.78,-902600.0,969014,2023.0
31,Scharping  Max Scharping,G,25,1382206,0.76,-852940.0,955736,2023.0
32,Smith  Tremon Smith,CB,25,1142059,0.63,-740000.0,1217059,2022.0
33,Greenard  Jonathan Greenard,DL,24,1041869,0.57,-670485.0,818374,2024.0
34,Weeks  Jon Weeks,LS,35,987500,0.54,-1212500.0,1212500,2022.0
35,Mills  Davis Mills,QB,23,949473,0.52,-1157892.0,1817892,2025.0
36,Heck  Charlie Heck,LT,25,938787,0.51,-533028.0,761111,2024.0
37,Heck  Charlie Heck,LT,25,938787,0.51,-533028.0,761111,2024.0
38,Christian  Geron Christian,LT,25,920000,0.5,,920000,2022.0
39,Christian  Geron Christian,LT,25,920000,0.5,,920000,2022.0
40,Martin  Jake Martin,DL,26,920000,0.5,,920000,2022.0
41,Moreland  Jimmy Moreland,CB,26,850000,0.47,,850000,2023.0
42,Moreland  Jimmy Moreland,CB,26,850000,0.47,,850000,2023.0
43,Collins  Nico Collins,WR,22,844897,0.46,-902920.0,1522087,2025.0
44,Johnson  Jaleel Johnson,DL,27,802774,0.44,,935000,2022.0
45,Johnson  Jaleel Johnson,DL,27,802774,0.44,,935000,2022.0
46,Auclair  Antony Auclair,TE,28,755552,0.41,,880000,
47,Jordan  Brevin Jordan,TE,21,748046,0.41,-352184.0,1012184,2025.0
48,Wallow  Garret Wallow,ED,22,733971,0.4,-295884.0,955884,2025.0
49,Moore  Chris Moore,WR,28,715000,0.39,,715000,2022.0
50,Lopez  Roy Lopez,DL,24,705709,0.39,-182836.0,842836,2025.0
51,Wilson  Eric Wilson,ED,27,575000,0.32,-575000.0,575000,2022.0
52,Freeman  Royce Freeman,RB,25,485001,0.27,,485001,2022.0
