Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Nelson  Quenton Nelson,G,28,25200000,9.87,-37600000.0,19000000,2027
2,Pittman Jr.  Michael Pittman Jr.,WR,27,18000000,7.05,-41000000.0,28000000,2027
3,Kelly  Ryan Kelly,C,31,14625000,5.73,-3250000.0,12375000,2025
4,Taylor  Jonathan Taylor,RB,25,10666000,4.18,-23152445.0,8224000,2027
5,Stewart  Grover Stewart,DL,31,10320000,4.04,-17990000.0,14500000,2027
6,Franklin  Zaire Franklin,LB,28,8610000,3.37,-17620000.0,12390000,2028
7,Buckner  DeForest Buckner,DL,30,8350000,3.27,-45750000.0,20250000,2027
8,Richardson  Anthony Richardson,QB,22,7725916,3.03,-27813298.0,2295183,2028
9,Moore  Kenny Moore,CB,29,6970000,2.73,-16000000.0,11440000,2027
10,Alie-Cox  Mo Alie-Cox,TE,31,5920000,2.32,,5920000,2025
11,Gay  Matt Gay,K,30,5920000,2.32,-9920000.0,3920000,2027
12,Speed  E.J. Speed,LB,29,5460000,2.14,-1460000.0,4000000,2025
13,Davis  Raekwon Davis,DL,27,5010000,1.96,-7000000.0,7510000,2026
14,Flacco  Joe Flacco,QB,39,5000000,1.96,-4500000.0,4500000,2025
15,Lewis  Tyquan Lewis,ED,29,4810000,1.88,-6700000.0,7500000,2026
16,Paye  Kwity Paye,ED,26,4341539,1.7,-1820880.0,2520659,2026
17,Blackmon  Julian Blackmon,SS,26,3890000,1.52,-3190000.0,3670000,2025
18,Dulin  Ashton Dulin,WR,27,3680000,1.44,-1500000.0,3190000,2025
19,Granson  Kylen Granson,TE,26,3292592,1.29,-176592.0,3116000,2025
20,Latu  Laiatu Latu,ED,24,3096708,1.21,-17031894.0,10001832,2029
21,Sanchez  Rigoberto Sanchez,P,30,2506300,0.98,-2500000.0,2556300,2027
22,Bryan  Taven Bryan,DL,28,2250000,0.88,-1125000.0,2250000,2025
23,Odeyingbo  Dayo Odeyingbo,ED,25,1965577,0.77,-463188.0,1502389,2025
24,Brents  Julius Brents,CB,24,1862940,0.73,-4485644.0,1122588,2027
25,Pierce  Alec Pierce,WR,24,1800366,0.7,-990488.0,1305122,2026
26,Raimann  Bernhard Raimann,LT,27,1445990,0.57,-517986.0,1186997,2026
27,Rhodes  Luke Rhodes,LS,32,1430000,0.56,-1080000.0,1210000,2028
28,Cross  Nick Cross,S,23,1381538,0.54,-432050.0,1165513,2026
29,Mitchell  Adonai Mitchell,WR,22,1342925,0.53,-4817431.0,2986700,2028
30,Downs  Josh Downs,WR,23,1254650,0.49,-761160.0,1000930,2027
31,Pinter  Danny Pinter,C,28,1222500,0.48,-500000.0,1222500,2025
32,Freeland  Blake Freeland,RT,24,1118970,0.44,-611910.0,915000,2027
33,Adebawore  Adetomiwa Adebawore,DL,23,1114227,0.44,-597681.0,915000,2027
34,Ehlinger  Sam Ehlinger,QB,26,1087677,0.43,-32677.0,1055000,2025
35,Goncalves  Matt Goncalves,LT,23,1061643,0.42,-1066572.0,1861572,2028
36,Sermon  Trey Sermon,RB,25,1055000,0.41,,1055000,2025
37,Stuard  Grant Stuard,LB,26,1055000,0.41,,1055000,2025
38,Thomas  Rodney Thomas,FS,26,1008846,0.4,-47692.0,985000,2026
39,Bortolini  Tanor Bortolini,G,22,989968,0.39,-779872.0,1574872,2028
40,Mallory  Will Mallory,TE,25,987648,0.39,-217944.0,915000,2027
41,McGrone  Cameron McGrone,LB,24,985000,0.39,,985000,2025
42,Womack  Samuel Womack,CB,25,985000,0.39,,985000,2026
43,Ogletree  Andrew Ogletree,TE,26,959547,0.38,-89094.0,915000,2026
44,Jones  Jaylon Jones,CB,22,943370,0.37,-85110.0,915000,2027
45,Goodson  Tyler Goodson,RB,24,915000,0.36,,915000,2025
46,Olubi  Segun Olubi,LB,25,915000,0.36,,915000,2025
47,Land  Isaiah Land,ED,24,915000,0.36,,915000,2026
48,Gould  Anthony Gould,WR,23,883166,0.35,-352664.0,1147664,2028
49,Carlies  Jaylon Carlies,S,23,879060,0.34,-336240.0,1131240,2028
50,Tucker  Dalton Tucker,G,24,808333,0.32,-240000.0,835000,2027
51,Long  David Long,CB,26,656667,0.26,,750000,2025
52,Harrison  Ronnie Harrison,S,27,547222,0.21,,672222,2025
53,Glowinski  Mark Glowinski,G,32,134444,0.05,,134444,2025
