Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Oluokun  Foyesade Oluokun,LB,29,15750668,6.17,-36002668.0,14882352,2028
2,Scherff  Brandon Scherff,G,33,11567000,4.53,-24618000.0,10500000,2025
3,Hines-Allen  Joshua Hines-Allen,ED,27,11150000,4.37,-76500000.0,34970588,2029
4,Walker  Travon Walker,ED,24,10192534,3.99,-9903778.0,4102512,2027
5,Campbell  Tyson Campbell,CB,24,6102639,2.39,-31400000.0,17952941,2029
6,Hamilton  DaVon Hamilton,DL,27,5655288,2.21,-19920000.0,9920000,2027
7,Armstead  Arik Armstead,ED,31,4426471,1.73,-28000000.0,14500000,2027
8,Etienne  Travis Etienne,RB,25,4103943,1.61,-4103943.0,2418833,2026
9,Little  Walker Little,LT,25,3935167,1.54,-26670020.0,7709403,2028
10,Cleveland  Ezra Cleveland,G,26,3591176,1.41,-14250000.0,9441176,2026
11,Lloyd  Devin Lloyd,LB,26,3528165,1.38,-7644358.0,1881055,2026
12,Darby  Ronald Darby,CB,30,3500000,1.37,-5500000.0,5132352,2026
13,Cisco  Andre Cisco,FS,24,3408091,1.33,-292091.0,3116000,2025
14,Wingard  Andrew Wingard,S,28,3370000,1.32,-3920000.0,2264117,2026
15,Harrison  Anton Harrison,RT,22,2999664,1.17,-10798789.0,1349933,2028
16,Savage  Darnell Savage,S,27,2794110,1.09,-12500000.0,6882352,2027
17,Jones  Mac Jones,QB,26,2785412,1.09,-2785412.0,2785412,2025
18,Thomas Jr.  Brian Thomas Jr.,WR,22,2665450,1.04,-14659978.0,8276800,2029
19,Morse  Mitch Morse,C,32,2650000,1.04,-7000000.0,5850000,2026
20,Cooke  Logan Cooke,P,29,2600000,1.02,-1200000.0,2400000,2026
21,Duvernay  Devin Duvernay,WR,27,2382343,0.93,-5500000.0,4982352,2026
22,Ledbetter  Jeremiah Ledbetter,ED,30,1850000,0.72,-1000000.0,1932352,2025
23,Thomas  Daniel Thomas,S,26,1700735,0.67,-2000000.0,2138235,2026
24,Fortner  Luke Fortner,C,26,1500018,0.59,-590024.0,1205006,2026
25,Muma  Chad Muma,LB,25,1479848,0.58,-563130.0,1198283,2026
26,Smith  Maason Smith,ED,22,1457927,0.57,-5703444.0,3446708,2028
27,Strange  Brenton Strange,TE,24,1389621,0.54,-2113015.0,1027924,2027
28,Johnson  Caleb Johnson,LB,26,1350000,0.53,-450000.0,1350000,2025
29,Matiscik  Ross Matiscik,LS,28,1285000,0.5,-330000.0,1175000,2027
30,Bigsby  Tank Bigsby,RB,23,1225663,0.48,-691590.0,995133,2027
31,Farrell  Luke Farrell,TE,26,1144505,0.45,-89505.0,1055000,2025
32,Johnson  D’Ernest Johnson,RB,28,1135000,0.44,-225000.0,1275000,2025
33,Lacy  Tyler Lacy,ED,25,1086781,0.43,-515343.0,915000,2027
34,Van Lanen  Cole Van Lanen,RT,26,1055000,0.41,,1055000,2025
35,Jones  Jarrian Jones,CB,23,1017511,0.4,-890044.0,1685044,2028
36,Brown  Montaric Brown,CB,25,1013995,0.4,-57990.0,985000,2026
37,Abdullah  Yasir Abdullah,LB,24,1006304,0.39,-273912.0,915000,2027
38,Foster  Javon Foster,RT,24,994266,0.39,-797064.0,1592064,2028
39,Jefferson  Jordan Jefferson,DL,23,990769,0.39,-783076.0,1578076,2028
40,Johnson  Antonio Johnson,S,23,990458,0.39,-226374.0,915000,2027
41,Jones  Tim Jones,WR,26,985000,0.39,,985000,2025
42,Miller  Ventrell Miller,LB,25,979234,0.38,-552702.0,795000,2027
43,Washington  Parker Washington,WR,22,963066,0.38,-144198.0,915000,2027
44,Deguara  Josiah Deguara,TE,27,937500,0.37,,937500,2025
45,Otomewo  Esezi Otomewo,ED,26,915000,0.36,,915000,2025
46,Reynolds  Josh Reynolds,WR,29,878610,0.34,-2245000.0,758610,2026
47,Prince  Deantre Prince,CB,24,878057,0.34,-332228.0,1127228,2028
48,Little  Cam Little,K,21,829597,0.32,-138388.0,933388,2028
49,Cole  Myles Cole,ED,24,821019,0.32,-104076.0,899076,2028
50,Robinson  Keilan Robinson,RB,24,666879,0.26,-281956.0,878346,2028
51,Hance  Blake Hance,LT,28,586111,0.23,,586111,2025
52,Beathard  C.J. Beathard,QB,31,492500,0.19,,605000,2025
53,Giles-Harris  Joe Giles-Harris,LB,27,109444,0.04,,109444,2025
