Unnamed: 0,Player (14),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Mahomes  Patrick Mahomes,QB,33,53014000.0,15.85,-57168000.0,27175000.0,2032
2,Jones  Chris Jones,DL,34,44850000.0,13.41,-9750000.0,35100000.0,2029
3,Smith  Trey Smith,G,29,27995280.0,8.37,-4495280.0,23500000.0,2029
4,Karlaftis  George Karlaftis,ED,27,23000000.0,6.87,-8000000.0,19000000.0,2031
5,Humphrey  Creed Humphrey,C,29,21600000.0,6.46,-3600000.0,18000000.0,2029
6,Butker  Harrison Butker,K,33,7247500.0,2.17,-1400000.0,5847500.0,2029
7,Simmons  Josh Simmons,LT,26,4669432.0,1.4,-4669432.0,2841186.0,2030
8,Norman-Lott  Omarr Norman-Lott,DL,26,2291029.0,0.68,-469159.0,1821870.0,2029
9,Gillotte  Ashton Gillotte,ED,26,2146017.0,0.64,-386295.0,1759722.0,2029
10,Williams  Nohl Williams,CB,26,2015846.0,0.6,-311912.0,1703934.0,2029
11,Royals  Jalen Royals,WR,25,1451800.0,0.43,-216800.0,1235000.0,2029
12,Bassa  Jeffrey Bassa,LB,26,1338413.0,0.4,-103413.0,1235000.0,2029
13,Smith  Brashard Smith,RB,25,1268369.0,0.38,-33369.0,1235000.0,2029
14,Worthy  Xavier Worthy,WR,25,,,,,2029
