Unnamed: 0,Player (13),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Crosby  Maxx Crosby,ED,31,27282000.0,8.15,,27282000.0,2030
2,Miller  Kolton Miller,LT,33,20232999.0,6.05,-2500000.0,17732999.0,2029
3,Jeanty  Ashton Jeanty,RB,25,11421395.0,3.41,-11421395.0,5734884.0,2030
4,Cole  A.J. Cole,P,33,3144500.0,0.94,-1000000.0,2644500.0,2030
5,Bech  Jack Bech,WR,26,2405079.0,0.72,-534330.0,1870749.0,2029
6,Porter  Darien Porter,CB,27,2139485.0,0.64,-382562.0,1756923.0,2029
7,Rogers  Caleb Rogers,G,27,1960377.0,0.59,-280215.0,1680162.0,2029
8,Grant  Charles Grant,LT,26,1960377.0,0.59,-280215.0,1680162.0,2029
9,Thornton Jr.  Dont'e Thornton Jr.,WR,26,1497725.0,0.45,-262725.0,1235000.0,2029
10,Hemingway  Tonka Hemingway,ED,27,1401454.0,0.42,-166454.0,1235000.0,2029
11,Pegues  JJ Pegues,DL,27,1301785.0,0.39,-66785.0,1235000.0,2029
12,Lindenberg  Cody Lindenberg,LB,26,1270292.0,0.38,-35292.0,1235000.0,2029
13,Bowers  Brock Bowers,TE,26,,,,,2029
