Unnamed: 0,Player (25),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Herbert  Justin Herbert,QB,29.0,58345675,18.31,-50465675.0,36000000,2030
2,Slater  Rashawn Slater,LT,28.0,31800000,9.98,-17400000.0,26000000,2030
3,Johnston  Quentin Johnston,WR,26.0,15935000,5.0,,15935000,2028
4,Tart  Teair Tart,DL,30.0,11980000,3.76,-8980000.0,9980000,2029
5,Alt  Joe Alt,LT,24.0,10551210,3.31,-5234262.0,5316948,2029
6,Molden  Elijah Molden,S,28.0,7166668,2.25,-1916668.0,5250000,2028
7,Dicker  Cameron Dicker,K,27.0,5978000,1.88,-2950000.0,4503000,2029
8,Hampton  Omarion Hampton,RB,24.0,4847581,1.52,-10503092.0,2455860,2030
9,McConkey  Ladd McConkey,WR,26.0,3180287,1.0,-2371044.0,2157981,2028
10,Harris  Tre Harris,WR,25.0,2132099,0.67,-2380098.0,1550700,2029
11,Colson  Junior Colson,LB,25.0,1917684,0.6,-300819.0,1616865,2028
12,Caldwell  Jamarree Caldwell,DL,27.0,1721800,0.54,,1413934,2029
13,Eboigbe  Justin Eboigbe,DL,26.0,1399753,0.44,-209753.0,1190000,2028
14,Kennard  Kyle Kennard,ED,26.0,1352641,0.42,-465282.0,1120000,2029
15,Still  Tarheeb Still,CB,25.0,1283930,0.4,-93930.0,1190000,2028
16,Hart  Cam Hart,CB,27.0,1280982,0.4,-90982.0,1190000,2028
17,Lambert-Smith  KeAndre Lambert-Smith,WR,25.0,1222001,0.38,-204002.0,1120000,2029
18,Gadsden II  Oronde Gadsden II,TE,24.0,1213509,0.38,-187018.0,1120000,2029
19,Mickens  R.J. Mickens,S,26.0,1163570,0.37,-87140.0,1120000,2029
20,Rogers  Eric Rogers,CB,,1126667,0.35,-6667.0,1120000,2028
21,Reed  Nikko Reed,CB,24.0,1125000,0.35,-5000.0,1120000,2028
22,Washington  Savion Washington,T,,1125000,0.35,-5000.0,1120000,2028
23,Fuga  Josh Fuga,DL,26.0,1123334,0.35,-3334.0,1120000,2028
24,Oladokun  Jordan Oladokun,CB,25.0,1123334,0.35,-3334.0,1120000,2028
25,Wax  Marlowe Wax,LB,25.0,1121000,0.35,-1000.0,1120000,2028
