Unnamed: 0,Player (98),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Wilson  Albert Wilson,WR,27,8333333.0,4.43,-9666667.0,7000000.0,2021.0
2,Parker  DeVante Parker,WR,26,6900000.0,3.67,-14000000.0,14500000.0,2024.0
3,Fitzpatrick  Ryan Fitzpatrick,QB,37,5500000.0,2.92,-7000000.0,5500000.0,2021.0
4,Rowe  Eric Rowe,CB,27,4025000.0,2.14,-2600000.0,5100000.0,2023.0
5,Harris  Charles Harris,ED,24,2957383.0,1.57,-6407664.0,1450794.0,2021.0
6,Hurns  Allen Hurns,WR,28,2933333.0,1.56,-2270588.0,3800000.0,2023.0
7,Wilkins  Christian Wilkins,DL,24,2807109.0,1.49,-15439100.0,9743436.0,2024.0
8,Kilgore  Daniel Kilgore,C,32,2681250.0,1.42,-50000.0,2681250.0,2021.0
9,Boehm  Evan Boehm,G,26,2025000.0,1.08,,2025000.0,2020.0
10,Davis  Jesse Davis,T,28,1645000.0,0.87,-8500000.0,4645000.0,2023.0
11,Gesicki  Mike Gesicki,TE,24,1502710.0,0.8,-2947046.0,780542.0,2022.0
12,Aikens  Walt Aikens,FS,28,1400000.0,0.74,,1400000.0,2020.0
13,Rosen  Josh Rosen,QB,22,1279898.0,0.68,-6239388.0,1279898.0,2023.0
14,Charlton  Taco Charlton,ED,25,1214710.0,0.65,-1214711.0,1214710.0,2022.0
15,Baker  Jerome Baker,LB,23,897800.0,0.48,-731400.0,654000.0,2022.0
16,Deiter  Michael Deiter,G,23,741312.0,0.39,-985248.0,1480248.0,2023.0
17,Smythe  Durham Smythe,TE,24,728058.0,0.39,-474177.0,570000.0,2022.0
18,Godchaux  Davon Godchaux,DL,25,695484.0,0.37,-100969.0,645000.0,2021.0
19,Haack  Matt Haack,P,25,646334.0,0.34,-1334.0,645000.0,2020.0
20,Webb  J'Marcus Webb,RT,31,645000.0,0.34,,930000.0,2020.0
