Unnamed: 0,Player (54),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Jefferson  Justin Jefferson,WR,27.0,38987600,12.85,-72212800.0,25500000,2029
2,Allen  Jonathan Allen,DL,31.0,23866667,7.87,-17333334.0,17700000,2028
3,O'Neill  Brian O'Neill,RT,31.0,23115657,7.62,-3703892.0,19500000,2027
4,Darrisaw  Christian Darrisaw,LT,27.0,22524282,7.42,-43791929.0,15041929,2030
5,Greenard  Jonathan Greenard,ED,29.0,22150000,7.3,-9900000.0,19000000,2028
6,Hargrave  Javon Hargrave,DL,33.0,21453382,7.07,-10497500.0,15000000,2027
7,Hockenson  T.J. Hockenson,TE,29.0,21296176,7.02,-12465000.0,16000000,2028
8,Murphy  Byron Murphy,CB,28.0,19570000,6.45,-32560000.0,15970000,2028
9,Van Ginkel  Andrew Van Ginkel,ED,31.0,19250000,6.34,-17200000.0,16000000,2027
10,Fries  Will Fries,G,28.0,17220000,5.67,-12610000.0,13220000,2030
11,Jones  Aaron Jones,RB,32.0,14550000,4.79,-6800000.0,10000000,2027
12,Kelly  Ryan Kelly,C,33.0,11715147,3.86,-3367500.0,8750000,2027
13,Oliver  Josh Oliver,TE,29.0,9964000,3.28,-15703000.0,7000000,2029
14,Cashman  Blake Cashman,LB,30.0,9182353,3.03,-4650000.0,7500000,2027
15,Rodgers  Isaiah Rodgers,CB,28.0,8912500,2.94,-4412500.0,5000000,2027
16,McCarthy  J.J. McCarthy,QB,23.0,5960399,1.96,-6357198.0,2781800,2029
17,Metellus  Josh Metellus,S,28.0,5955000,1.96,-11435000.0,4045000,2029
18,Mason  Jordan Mason,RB,27.0,5790000,1.91,-5200000.0,5000000,2027
19,Addison  Jordan Addison,WR,24.0,4369190,1.44,-4369190.0,2622510,2028
20,Brandel  Blake Brandel,G,29.0,4366667,1.44,-666667.0,3500000,2027
21,Turner  Dallas Turner,ED,23.0,4300054,1.42,-9316784.0,2228352,2029
22,Smith  Harrison Smith,S,37.0,4300000,1.42,-10600000.0,1300000,2030
23,Jackson  Donovan Jackson,G,24.0,3903876,1.29,-14053953.0,1620775,2030
24,Jackson  Theo Jackson,S,28.0,2500000,0.82,-3280000.0,1500000,2028
25,Felton  Tai Felton,WR,23.0,1400269,0.46,-840645.0,1120054,2029
26,Ward  Jay Ward,S,26.0,1308386,0.43,-163386.0,1145000,2027
27,Hailassie  Kahlef Hailassie,S,26.0,1145000,0.38,,1145000,2027
28,Rouse  Walter Rouse,RT,25.0,1131648,0.37,-113296.0,1075000,2028
29,Ingram-Dawkins  Tyrion Ingram-Dawkins,DL,23.0,1124344,0.37,-358032.0,1005000,2029
30,Reichard  Will Reichard,K,25.0,1117655,0.37,-85310.0,1075000,2028
31,Jurgens  Michael Jurgens,C,26.0,1102185,0.36,-54370.0,1075000,2028
32,Drake Rodriguez  Levi Drake Rodriguez,DL,26.0,1101497,0.36,-52994.0,1075000,2028
33,Ross  Josh Ross,LB,27.0,1075000,0.35,,1075000,2027
34,McGlothern  Dwight McGlothern,CB,24.0,1075000,0.35,,1075000,2027
35,Taimani  Taki Taimani,DL,27.0,1075000,0.35,,1075000,2027
36,Batty  Tyler Batty,ED,27.0,1013333,0.33,-16667.0,1005000,2028
37,Chambliss  Chaz Chambliss,ED,24.0,1011666,0.33,-13334.0,1005000,2028
38,Yurosek  Ben Yurosek,TE,24.0,1011666,0.33,-13334.0,1005000,2028
39,Huber  Joe Huber,G,24.0,1008333,0.33,-6667.0,1005000,2028
40,Brosmer  Max Brosmer,QB,25.0,1008333,0.33,-6667.0,1005000,2028
41,Byrd  Henry Byrd,G,27.0,1005000,0.33,,1005000,2027
42,Vaughn  Zemaiah Vaughn,CB,24.0,1005000,0.33,,1005000,2027
43,Williams  Elijah Williams,DL,24.0,1005000,0.33,,1005000,2028
44,Price  Myles Price,WR,25.0,1005000,0.33,,1005000,2028
45,Bartholomew  Gavin Bartholomew,TE,23.0,938956,0.31,-161865.0,885000,2029
46,Correll  Zeke Correll,C,26.0,888333,0.29,-6667.0,885000,2028
47,Jones  Jeshaun Jones,WR,27.0,885000,0.29,,885000,2027
48,Hutchings  Jaylon Hutchings,DL,,885000,0.29,,885000,2027
49,Etienne  Caleb Etienne,T,25.0,885000,0.29,,885000,2027
50,Fleming  Dontae Fleming,WR,25.0,885000,0.29,,885000,2027
51,Nesbit  Bryson Nesbit,TE,24.0,885000,0.29,,885000,2027
52,Davis  Joaquin Davis,WR,24.0,885000,0.29,,885000,2027
53,Lee  Vershon Lee,G,,885000,0.29,,885000,2027
54,Roberts  Jacob Roberts,LB,,885000,0.29,,885000,2029
