Unnamed: 0,Player (64),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Williams  Milton Williams,DL,27.0,28400000,9.36,-39000000.0,23000000,2029
2,Diggs  Stefon Diggs,WR,33.0,26500000,8.73,-8000000.0,22500000,2028
3,Onwenu  Mike Onwenu,G,29.0,25000000,8.24,-7500000.0,17500000,2027
4,Davis  Carlton Davis,CB,29.0,22000000,7.25,-24000000.0,14500000,2028
5,Barmore  Christian Barmore,DL,27.0,17100000,5.64,-12800000.0,13500000,2029
6,Landry  Harold Landry,ED,30.0,16350000,5.39,-19000000.0,12500000,2028
7,Spillane  Robert Spillane,LB,31.0,12320000,4.06,-14300000.0,9500000,2028
8,Henry  Hunter Henry,TE,32.0,11750000,3.87,-2500000.0,8500000,2027
9,Moses  Morgan Moses,RT,35.0,10400000,3.43,-7300000.0,7500000,2028
10,Maye  Drake Maye,QB,24.0,9992663,3.29,-21650770.0,4125888,2029
11,Campbell  Will Campbell,LT,22.0,9923205,3.27,-35723538.0,2824641,2030
12,Elliss  Christian Elliss,LB,27.0,8555000,2.82,-3500000.0,7379000,2027
13,Stevenson  Rhamondre Stevenson,RB,28.0,7423529,2.45,-8050000.0,6000000,2029
14,Bradbury  Garrett Bradbury,C,31.0,6900000,2.27,-1200000.0,4700000,2027
15,Jones  Marcus Jones,CB,28.0,6327500,2.09,-11442500.0,3770000,2029
16,Hollins  Mack Hollins,WR,33.0,5550000,1.83,-1150000.0,4300000,2027
17,Tavai  Jahlani Tavai,LB,30.0,5223162,1.72,-3487500.0,4000000,2028
18,Jennings  Anfernee Jennings,ED,29.0,4867647,1.6,-1000000.0,4000000,2027
19,Gonzalez  Christian Gonzalez,CB,24.0,4805458,1.58,-4805458.0,2809482,2028
20,Dobbs  Joshua Dobbs,QB,31.0,4750000,1.57,-1050000.0,3700000,2027
21,Gibson  Antonio Gibson,RB,28.0,4140000,1.36,-1000000.0,3500000,2027
22,Boutte  Kayshon Boutte,WR,24.0,3758818,1.24,-46818.0,3712000,2027
23,Douglas  Demario Douglas,WR,26.0,3745333,1.23,-33333.0,3712000,2027
24,Schooler  Brenden Schooler,S,29.0,2998529,0.99,-950000.0,2550000,2028
25,Henderson  TreVeyon Henderson,RB,24.0,2532553,0.83,-9117192.0,1346511,2029
26,Brown  Ben Brown,C,28.0,1966666,0.65,-1933334.0,1600000,2028
27,Mapu  Marte Mapu,LB,27.0,1770270,0.58,-261583.0,1508687,2027
28,Wallace  Caedan Wallace,G,26.0,1648174,0.54,-607564.0,1344392,2028
29,Williams  Kyle Williams,WR,24.0,1523539,0.5,-1136493.0,1144708,2029
30,Wilson  Jared Wilson,G,23.0,1410780,0.46,-865875.0,1122156,2029
31,Woodson  Craig Woodson,S,25.0,1271611,0.42,-799833.0,1005000,2029
32,Muma  Chad Muma,LB,27.0,1240000,0.41,,1240000,2027
33,Baringer  Bryce Baringer,P,27.0,1189614,0.39,-44614.0,1145000,2027
34,Farmer  Joshua Farmer,DL,23.0,1171454,0.39,-499362.0,1005000,2029
35,Pharms  Jeremiah Pharms,DL,30.0,1145000,0.38,,1145000,2027
36,Durden  Cory Durden,DL,26.0,1145000,0.38,,1145000,2027
37,Dial  Marcellas Dial,CB,26.0,1128032,0.37,-106064.0,1075000,2028
38,Pettus  Dell Pettus,S,25.0,1078000,0.36,-3000.0,1075000,2027
39,Mitchell  Elijah Mitchell,RB,28.0,1075000,0.35,,1215000,2027
40,Gutierrez  Sebastian Gutierrez,T,28.0,1075000,0.35,,1075000,2027
41,Rupcich  Andrew Rupcich,G,27.0,1075000,0.35,,1075000,2027
42,Reese  Otis Reese,LB,28.0,1075000,0.35,,1075000,2027
43,Woods  Charles Woods,CB,26.0,1075000,0.35,,1075000,2027
44,Taylor  Leonard Taylor,DL,24.0,1075000,0.35,,1075000,2027
45,Jennings  Terrell Jennings,RB,25.0,1075000,0.35,,1075000,2027
46,Borregales  Andres Borregales,K,24.0,1069121,0.35,-192363.0,1005000,2029
47,Bryant  Marcus Bryant,RT,24.0,1042082,0.34,-111246.0,1005000,2029
48,Ashby  Julian Ashby,LS,24.0,1030418,0.34,-76254.0,1005000,2029
49,Larison  Lan Larison,RB,25.0,1013333,0.33,-16667.0,1005000,2028
50,Chism III  Efton Chism III,WR,25.0,1013333,0.33,-16667.0,1005000,2028
51,Lampe  Brock Lampe,FB,23.0,1010000,0.33,-10000.0,1005000,2028
52,Ponder  Elijah Ponder,ED,24.0,1010000,0.33,-10000.0,1005000,2028
53,Gainer  Amari Gainer,ED,26.0,1005000,0.33,,1005000,2027
54,Swinson  Bradyn Swinson,ED,24.0,1005000,0.33,,1005000,2029
55,Minor  Kobee Minor,S,,1005000,0.33,,1005000,2027
56,Gregory  Eric Gregory,DL,26.0,1005000,0.33,,1005000,2028
57,Saunders Jr  John Saunders Jr,S,25.0,1005000,0.33,,1005000,2027
58,Dippre  C.J. Dippre,TE,24.0,1005000,0.33,,1005000,2027
59,Metz  Lorenz Metz,T,29.0,885000,0.29,,885000,2027
60,Jiles  John Jiles,WR,26.0,885000,0.29,,885000,2027
61,Lang  Marshall Lang,TE,25.0,885000,0.29,,885000,2027
62,Webb  Jeremiah Webb,WR,25.0,885000,0.29,,885000,2027
63,Crossley  Brandon Crossley,CB,25.0,885000,0.29,,885000,2027
64,Butler  Mehki Butler,G,25.0,885000,0.29,,885000,2027
