Unnamed: 0,Player (86),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Jordan  Cameron Jordan,ED,33,12427838,5.97,-34323750.0,14470576,2024.0
2,Lattimore  Marshon Lattimore,CB,26,8999400,4.32,-52006200.0,24103000,2027.0
3,Ramczyk  Ryan Ramczyk,RT,28,8476321,4.07,-48441607.0,19241608,2027.0
4,Peat  Andrus Peat,G,29,7666000,3.68,-23530000.0,10850000,2025.0
5,Onyemata  David Onyemata,DL,30,7198000,3.46,-16805000.0,8500000,2023.0
6,Kamara  Alvin Kamara,RB,27,6128000,2.94,-25500000.0,11500000,2026.0
7,Davis  Demario Davis,LB,33,5896000,2.83,-19000000.0,8000000,2025.0
8,Lutz  Wil Lutz,K,28,5570000,2.68,-3890000.0,3650000,2024.0
9,Hill  Taysom Hill,TE,32,5125000,2.46,-28900000.0,10100000,2026.0
10,Winston  Jameis Winston,QB,28,4000000,1.92,-15200000.0,15200000,2024.0
11,Olave  Chris Olave,WR,22,3503977,1.68,-19271874.0,11900908,2027.0
12,Mathieu  Tyrann Mathieu,FS,30,3400000,1.63,-18000000.0,11000000,2025.0
13,Mathieu  Tyrann Mathieu,FS,30,3400000,1.63,-18000000.0,11000000,2025.0
14,Hurst  James Hurst,LT,31,3381000,1.62,-3805000.0,3425000,2025.0
15,Hurst  James Hurst,LT,31,3381000,1.62,-3805000.0,3425000,2025.0
16,McCoy  Erik McCoy,C,25,3222378,1.55,-20702378.0,9010000,2028.0
17,Davenport  Marcus Davenport,ED,26,3009446,1.45,-10636384.0,9553000,2023.0
18,Davenport  Marcus Davenport,ED,26,3009446,1.45,-10636384.0,9553000,2023.0
19,Dalton  Andy Dalton,QB,35,3000000,1.44,-3000000.0,4000000,2023.0
20,Turner  Payton Turner,ED,23,2846531,1.37,-10247512.0,1229306,2026.0
21,Turner  Payton Turner,ED,23,2846531,1.37,-10247512.0,1229306,2026.0
22,Maye  Marcus Maye,FS,28,2638236,1.27,-14500000.0,7497060,2025.0
23,Maye  Marcus Maye,FS,28,2638236,1.27,-14500000.0,7497060,2025.0
24,Gray  J.T. Gray,SS,26,2600000,1.25,-500000.0,2000000,2023.0
25,Gray  J.T. Gray,SS,26,2600000,1.25,-500000.0,2000000,2023.0
26,Penning  Trevor Penning,LT,23,2571512,1.24,-14143316.0,8171048,2026.0
27,Penning  Trevor Penning,LT,23,2571512,1.24,-14143316.0,8171048,2026.0
28,Tuttle  Shy Tuttle,DL,27,2433000,1.17,,2433000,2023.0
29,Roby  Bradley Roby,CB,30,1765475,0.85,-3227375.0,3500000,2023.0
30,Roby  Bradley Roby,CB,30,1765475,0.85,-3227375.0,3500000,2023.0
31,Smith  Tre'quan Smith,WR,26,1600000,0.77,-2000000.0,3100000,2024.0
32,Smith  Tre'quan Smith,WR,26,1600000,0.77,-2000000.0,3100000,2024.0
33,Kpassagnon  Tanoh Kpassagnon,ED,28,1558000,0.75,-2515000.0,3150000,2023.0
34,Kpassagnon  Tanoh Kpassagnon,ED,28,1558000,0.75,-2515000.0,3150000,2023.0
35,Werner  Pete Werner,LB,23,1291973,0.62,-2039129.0,918395,2025.0
36,Street  Kentavius Street,ED,26,1265000,0.61,-300000.0,1265000,2023.0
37,Street  Kentavius Street,ED,26,1265000,0.61,-300000.0,1265000,2023.0
38,Wood  Zach Wood,LS,29,1260000,0.61,-350000.0,1085000,2024.0
39,Taylor  Alontae Taylor,CB,24,1248838,0.6,-3452266.0,3063673,2026.0
40,Taylor  Alontae Taylor,CB,24,1248838,0.6,-3452266.0,3063673,2026.0
41,Williams  P.J. Williams,CB,29,1187500,0.57,-2537500.0,2537500,2023.0
42,Williams  P.J. Williams,CB,29,1187500,0.57,-2537500.0,2537500,2023.0
43,Trautman  Adam Trautman,TE,25,1168074,0.56,-416148.0,960000,2024.0
44,Trautman  Adam Trautman,TE,25,1168074,0.56,-416148.0,960000,2024.0
45,Adebo  Paulson Adebo,CB,23,1145536,0.55,-769287.0,889107,2025.0
46,Sorensen  Daniel Sorensen,SS,32,1047500,0.5,-500000.0,1272500,2023.0
47,Sorensen  Daniel Sorensen,SS,32,1047500,0.5,-500000.0,1272500,2023.0
48,Granderson  Carl Granderson,ED,26,1045000,0.5,-240000.0,1205000,2024.0
49,Elliss  Kaden Elliss,LB,27,984079,0.47,-19079.0,965000,2023.0
