Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Jackson  Adoree' Jackson,CB,28,19076563,8.49,-21476667.0,11823522,2024.0
2,Barkley  Saquon Barkley,RB,26,10091000,4.49,-10091000.0,10091000,2024.0
3,Thomas  Andrew Thomas,T,24,9291778,4.13,-72271016.0,16020762,2030.0
4,Glowinski  Mark Glowinski,G,31,8350000,3.71,-8950000.0,6161764,2025.0
5,Thibodeaux  Kayvon Thibodeaux,ED,23,7122509,3.17,-25641031.0,2129502,2027.0
6,Taylor  Tyrod Taylor,QB,34,6900000,3.07,-8300000.0,5500000,2024.0
7,Lawrence  Dexter Lawrence,DL,26,5714600,2.54,-46500000.0,24253000,2028.0
8,Campbell  Parris Campbell,WR,26,5000000,2.22,-3000000.0,4500000,2024.0
9,Waller  Darren Waller,TE,31,4498750,2.0,-11200000.0,11875000,2027.0
10,Okereke  Bobby Okereke,LB,27,4385000,1.95,-21900000.0,14000000,2027.0
11,Slayton  Darius Slayton,WR,26,4205882,1.87,-5250000.0,6200000,2025.0
12,McKinney  Xavier McKinney,SS,24,2669879,1.19,-915645.0,1754234,2024.0
13,Nunez-Roches  Rakeem Nunez-Roches,DL,30,2633333,1.17,-5500000.0,5500000,2026.0
14,Robinson  A'Shawn Robinson,DL,28,2488235,1.11,-4000000.0,5000000,2024.0
15,Banks  Deonte Banks,CB,22,2468981,1.1,-13579394.0,7625924,2028.0
16,Robinson  Wan'dale Robinson,WR,22,1860265,0.83,-4303197.0,1077053,2026.0
17,Ojulari  Azeez Ojulari,DL,23,1847703,0.82,-1143604.0,1275901,2025.0
18,Gillan  Jamie Gillan,P,26,1600000,0.71,-2100000.0,2100000,2025.0
19,Ward  Jihad Ward,DL,29,1500000,0.67,-1500000.0,1500000,2024.0
20,Breida  Matt Breida,RB,28,1400000,0.62,-1400000.0,1400000,2024.0
21,Peart  Matt Peart,RT,26,1302324,0.58,-208074.0,1094250,2024.0
22,Holmes  Darnay Holmes,CB,25,1207972,0.54,-197972.0,1010000,2024.0
23,Flott  Cordale Flott,CB,22,1191328,0.53,-794186.0,943266,2026.0
24,Schmitz  John Michael Schmitz,C,24,1158788,0.52,-3424849.0,2385152,2027.0
25,Basham Jr.  Carlos Basham Jr.,DL,26,1096358,0.49,,1096358,2025.0
26,Kreiter  Casey Kreiter,LS,33,1092500,0.49,-1317500.0,1317500,2024.0
27,Bellinger  Daniel Bellinger,TE,23,1068276,0.48,-594828.0,870000,2026.0
28,Belton  Dane Belton,S,23,1066122,0.47,-588366.0,870000,2026.0
29,Brown  Cameron Brown,ED,25,1059591,0.47,-49591.0,1010000,2024.0
30,Shepard  Sterling Shepard,WR,30,1054375,0.47,-1165000.0,1299550,2024.0
31,Pugh  Justin Pugh,G,33,1040000,0.46,,1040000,2024.0
32,Coughlin  Carter Coughlin,LB,26,1037536,0.46,-27536.0,1010000,2024.0
33,Hyatt  Jalin Hyatt,WR,22,1022784,0.46,-1091136.0,1841136,2027.0
34,Simmons  Isaiah Simmons,LB,25,1010000,0.45,-1010000.0,1010000,2024.0
35,Bredeson  Ben Bredeson,G,24,1010000,0.45,,1010000,2024.0
36,McFadden  Micah McFadden,LB,23,958927,0.43,-266781.0,870000,2026.0
37,Davidson  D.J. Davidson,DL,24,958529,0.43,-265587.0,870000,2026.0
38,McCloud  Nick McCloud,CB,25,940000,0.42,,940000,2024.0
39,Hodgins  Isaiah Hodgins,WR,25,870000,0.39,,870000,2024.0
40,McKethan  Marcus McKethan,G,24,819128,0.36,-207384.0,750000,2026.0
41,Hawkins III  Tre Hawkins III,CB,24,787380,0.35,-149520.0,899520,2027.0
42,Riley  Jordon Riley,DL,25,770942,0.34,-83768.0,833768,2027.0
43,Owens  Gervarrius Owens,S,24,769444,0.34,-77776.0,827776,2027.0
44,Gray  Eric Gray,RB,24,744579,0.33,-244976.0,928311,2027.0
45,Harlow  Sean Harlow,G,28,626667,0.28,,720000,2024.0
46,Olszewski  Gunner Olszewski,WR,27,600000,0.27,,600000,2024.0
47,Corbin  Jashaun Corbin,RB,23,458337,0.2,,458337,2025.0
48,DeVito  Tommy DeVito,QB,25,416667,0.19,,416666,2025.0
49,Whitley  Benton Whitley,ED,24,338331,0.15,,338331,2025.0
50,Horne  Timothy Horne,DL,26,144999,0.06,,144999,2025.0
51,Beavers  Darrian Beavers,LB,24,96666,0.04,,96666,2025.0
52,Jackson  Tyree Jackson,TE,26,52222,0.02,,52222,2025.0
53,Eason  Jacob Eason,QB,26,52222,0.02,,52222,
