Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Williams  Quinnen Williams,DL,27,20400000,7.99,-41341000.0,15500000,2028
2,Rodgers  Aaron Rodgers,QB,41,17161112,6.72,-66161112.0,38161112,2026
3,Reed  D.J. Reed,CB,28,15636165,6.12,-9315000.0,11000000,2025
4,Lazard  Allen Lazard,WR,29,12184000,4.77,-18736000.0,10000000,2026
5,Reddick  Haason Reddick,LB,30,9776678,3.83,-20515000.0,14841689,2025
6,Wilson  Garrett Wilson,WR,24,5605638,2.19,-12145549.0,2573546,2027
7,Moses  Morgan Moses,RT,33,5500000,2.15,,5500000,2025
8,Conklin  Tyler Conklin,TE,29,5358334,2.1,-10388334.0,7000000,2025
9,Vera-Tucker  Alijah Vera-Tucker,G,25,5054327,1.98,-20367327.0,2826140,2026
10,McDonald  Will McDonald,ED,25,3709471,1.45,-13354097.0,1491894,2028
11,Adams  Davante Adams,WR,32,3227333,1.26,-11259997.0,11590000,2027
12,Simpson  John Simpson,G,27,3210000,1.26,-6000000.0,9010000,2026
13,Williams  Quincy Williams,LB,28,3050000,1.19,-10362500.0,6250000,2026
14,Kinlaw  Javon Kinlaw,DL,27,2850000,1.12,-6910000.0,8000000,2025
15,Taylor  Tyrod Taylor,QB,35,2800000,1.1,-8500000.0,6000000,2026
16,Carter II  Michael Carter II,CB,25,2656422,1.04,-13698232.0,7374190,2028
17,Thomas  Solomon Thomas,DL,29,2630000,1.03,-2490000.0,3000000,2025
18,Oliver  Isaiah Oliver,CB,28,2500000,0.98,-2160000.0,2625000,2025
19,Hall  Breece Hall,RB,23,2458575,0.96,-3392625.0,1524525,2026
20,Morstead  Thomas Morstead,P,38,2050000,0.8,-2210000.0,2550000,2026
21,Schweitzer  Wes Schweitzer,C,31,2028230,0.79,-1700000.0,2000000,2025
22,Tippmann  Joe Tippmann,C,23,1899909,0.74,-4647734.0,1129982,2027
23,Hennessy  Thomas Hennessy,LS,30,1385000,0.54,-1910000.0,1210000,2028
24,Ruckert  Jeremy Ruckert,TE,24,1375884,0.54,-424512.0,1163628,2026
25,Davis  Ashtyn Davis,S,28,1292500,0.51,-167500.0,2742500,2025
26,Mitchell  Max Mitchell,G,25,1184006,0.46,-398012.0,985000,2026
27,Clemons  Micheal Clemons,ED,27,1176024,0.46,-382048.0,985000,2026
28,Sherwood  Jamien Sherwood,S,24,1143714,0.45,-88714.0,1055000,2025
29,Corley  Malachi Corley,WR,22,1104265,0.43,-1237060.0,2032060,2028
30,Warren  Carter Warren,RT,25,1101080,0.43,-558240.0,915000,2027
31,Echols  Brandin Echols,CB,27,1098545,0.43,-43545.0,1055000,2025
32,Yeboah  Kenny Yeboah,TE,26,1095982,0.43,-225000.0,1198335,2025
33,Hanson  Jake Hanson,G,27,1055000,0.41,,1055000,2025
34,Adams  Tony Adams,FS,25,988334,0.39,-3334.0,985000,2025
35,Eguavoen  Sam Eguavoen,LB,31,985000,0.39,,1125000,2025
36,Surratt  Chazz Surratt,LB,27,985000,0.39,,985000,2025
37,Newman-Johnson  Xavier Newman-Johnson,G,25,985000,0.39,,985000,2025
38,Bernard-Converse  Jarrick Bernard-Converse,CB,24,956278,0.37,-123834.0,915000,2027
39,Allen  Braelon Allen,RB,20,927177,0.36,-528708.0,1323708,2028
40,Gipson  Xavier Gipson,WR,23,920000,0.36,-10000.0,915000,2026
41,Davis  Isaiah Davis,RB,22,858569,0.34,-254276.0,1049276,2028
42,Stiggers  Qwan'tez Stiggers,CB,22,858569,0.34,-254276.0,1049276,2028
43,McGregor  Braiden McGregor,ED,23,801666,0.31,-220000.0,815000,2027
44,Watts  Eric Watts,ED,24,801666,0.31,-245000.0,815000,2027
45,Taylor  Leonard Taylor,DL,22,798333,0.31,-110000.0,805000,2027
46,McCrary-Ball  Marcelino McCrary-Ball,LB,25,508333,0.2,,508333,2026
47,Sheffield  Kendall Sheffield,CB,28,218888,0.09,,250000,2025
48,Simpson  Jaylin Simpson,S,24,176668,0.07,,176668,2026
49,Monroe  Jarius Monroe,CB,24,88334,0.03,,88334,2027
50,Mathis  Phidarian Mathis,DL,26,77078,0.03,-110991.0,77078,2026
51,Joseph  Greg Joseph,K,30,62500,0.02,,62500,2025
52,Davis  Jamin Davis,LB,26,58611,0.02,,58611,2025
53,Hector  Bruce Hector,DL,30,54722,0.02,,54722,2025
