Unnamed: 0,Player (112),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Cox  Fletcher Cox,DL,29,11902000.0,6.32,-38852000.0,15600000.0,2023
2,Jenkins  Malcolm Jenkins,FS,32,11387000.0,6.05,-9148000.0,8350000.0,2021
3,Agholor  Nelson Agholor,WR,26,9387000.0,4.99,-9387000.0,9387000.0,2020
4,Peters  Jason Peters,LT,37,8666668.0,4.61,-8666668.0,6000000.0,2020
5,Wentz  Carson Wentz,QB,27,8393782.0,4.46,-70870934.0,17087683.0,2025
6,Johnson  Lane Johnson,RT,29,7656911.0,4.07,-38347206.0,14100705.0,2026
7,Ertz  Zach Ertz,TE,29,6291500.0,3.34,-17737500.0,8000000.0,2022
8,McLeod  Rodney McLeod,FS,29,5656250.0,3.01,-6312500.0,4000000.0,2020
9,McLeod  Rodney McLeod,FS,29,5656250.0,3.01,-6312500.0,4000000.0,2020
10,Bradham  Nigel Bradham,LB,30,4447500.0,2.36,-8000000.0,5750000.0,2023
11,Bradham  Nigel Bradham,LB,30,4447500.0,2.36,-8000000.0,5750000.0,2023
12,Barnett  Derek Barnett,ED,23,3504756.0,1.86,-7593638.0,1633252.0,2022
13,Barnett  Derek Barnett,ED,23,3504756.0,1.86,-7593638.0,1633252.0,2022
14,Graham  Brandon Graham,ED,31,3500000.0,1.86,-23500000.0,13500000.0,2023
15,Sudfeld  Nate Sudfeld,QB,26,3095000.0,1.64,,3095000.0,2020
16,Sudfeld  Nate Sudfeld,QB,26,3095000.0,1.64,,3095000.0,2020
17,Kelce  Jason Kelce,C,32,2444000.0,1.3,-20430000.0,8500000.0,2022
18,Kelce  Jason Kelce,C,32,2444000.0,1.3,-20430000.0,8500000.0,2022
19,Curry  Vinny Curry,ED,31,2250000.0,1.2,-2000000.0,2250000.0,2020
20,Curry  Vinny Curry,ED,31,2250000.0,1.2,-2000000.0,2250000.0,2020
21,Dillard  Andre Dillard,T,24,2249197.0,1.2,-12370584.0,7511788.0,2023
22,Dillard  Andre Dillard,T,24,2249197.0,1.2,-12370584.0,7511788.0,2023
23,Vaitai  Halapoulivaati Vaitai,G,26,2081282.0,1.11,-56282.0,2025000.0,2020
24,Vaitai  Halapoulivaati Vaitai,G,26,2081282.0,1.11,-56282.0,2025000.0,2020
25,Mills  Jalen Mills,CB,25,2044214.0,1.09,-19214.0,2025000.0,2020
26,Mills  Jalen Mills,CB,25,2044214.0,1.09,-19214.0,2025000.0,2020
27,Howard  Jordan Howard,RB,25,2025000.0,1.08,,2025000.0,2020
28,Howard  Jordan Howard,RB,25,2025000.0,1.08,,2025000.0,2020
29,McCown  Josh McCown,QB,40,2000000.0,1.06,-2000000.0,2000000.0,2020
30,McCown  Josh McCown,QB,40,2000000.0,1.06,-2000000.0,2000000.0,2020
31,Jernigan  Timmy Jernigan,DL,27,1812500.0,0.96,-1250000.0,1812500.0,2020
32,Jernigan  Timmy Jernigan,DL,27,1812500.0,0.96,-1250000.0,1812500.0,2020
33,Seumalo  Isaac Seumalo,G,26,1739966.0,0.92,-7879966.0,4749000.0,2023
34,Seumalo  Isaac Seumalo,G,26,1739966.0,0.92,-7879966.0,4749000.0,2023
35,Jones  Sidney Jones,CB,23,1674570.0,0.89,-1302760.0,1023190.0,2021
36,Jones  Sidney Jones,CB,23,1674570.0,0.89,-1302760.0,1023190.0,2021
37,Goedert  Dallas Goedert,TE,24,1278243.0,0.68,-2363434.0,735649.0,2022
38,Sanders  Miles Sanders,RB,22,972759.0,0.52,-2649226.0,2406036.0,2023
39,Sanders  Miles Sanders,RB,22,972759.0,0.52,-2649226.0,2406036.0,2023
40,Arcega-Whiteside  J.J. Arcega-Whiteside,WR,22,900222.0,0.48,-1614712.0,2115888.0,2023
41,Arcega-Whiteside  J.J. Arcega-Whiteside,WR,22,900222.0,0.48,-1614712.0,2115888.0,2023
42,Douglas  Rasul Douglas,CB,25,846572.0,0.45,-353144.0,670000.0,2021
43,LeBlanc  Crevon LeBlanc,CB,25,795000.0,0.42,,870000.0,2021
44,LeBlanc  Crevon LeBlanc,CB,25,795000.0,0.42,,870000.0,2021
45,LeBlanc  Crevon LeBlanc,CB,25,795000.0,0.42,,870000.0,2021
46,Maddox  Avonte Maddox,CB,23,726478.0,0.39,-469436.0,570000.0,2022
47,Maddox  Avonte Maddox,CB,23,726478.0,0.39,-469436.0,570000.0,2022
48,Maddox  Avonte Maddox,CB,23,726478.0,0.39,-469436.0,570000.0,2022
49,Lovato  Rick Lovato,LS,27,720000.0,0.38,,720000.0,2024
