Unnamed: 0,Player (54),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Roethlisberger  Ben Roethlisberger,QB,38,23750000,11.98,-46000000.0,26000000,2022.0
2,Tuitt  Stephon Tuitt,DL,27,14940750,7.54,-24222250.0,9000000,2023.0
3,DeCastro  David DeCastro,G,30,9797500,4.94,-15345000.0,8750000,2022.0
4,Heyward  Cameron Heyward,DL,31,9301250,4.69,-25501250.0,21750000,2025.0
5,Villanueva  Alejandro Villanueva,LT,32,8390000,4.23,-8390000.0,5000000,2021.0
6,Pouncey  Maurkice Pouncey,C,31,7525000,3.8,-14000000.0,8000000,2022.0
7,Nelson  Steven Nelson,CB,27,7080000,3.57,-13250000.0,8250000,2022.0
8,Williams  Vince Williams,LB,31,7031666,3.55,-10063336.0,4000000,2022.0
9,McDonald  Vance McDonald,TE,30,3827500,1.93,-6555000.0,5100000,2022.0
10,Alualu  Tyson Alualu,DL,33,3625000,1.83,-3625000.0,2750000,2021.0
11,Ebron  Eric Ebron,TE,27,3500000,1.77,-6000000.0,6000000,2022.0
12,Feiler  Matt Feiler,RT,28,3259000,1.64,,3259000,2021.0
13,Hilton  Mike Hilton,CB,26,3259000,1.64,,3259000,2021.0
14,Watt  T.J. Watt,ED,26,2945908,1.49,-2945908.0,1727532,2022.0
15,Edmunds  Terrell Edmunds,SS,23,2917578,1.47,-4382632.0,1452526,2022.0
16,Boswell  Chris Boswell,K,29,2598333,1.31,-5975000.0,2375000,2023.0
17,Wormley  Chris Wormley,DL,27,2133000,1.08,,2133000,2021.0
18,Watt  Derek Watt,FB,28,2083333,1.05,-4250000.0,4250000,2023.0
19,Fitzpatrick  Minkah Fitzpatrick,FS,24,1975252,1.0,-4698130.0,1975252,2023.0
20,Williamson  Avery Williamson,LB,28,1455885,0.73,-1455885.0,1455885,2021.0
21,Smith-Schuster  JuJu Smith-Schuster,WR,24,1335023,0.67,-297871.0,1037152,2021.0
22,Washington  James Washington,WR,24,1227639,0.62,-676854.0,889213,2022.0
23,Claypool  Chase Claypool,WR,22,1203023,0.61,-3282848.0,2982092,2024.0
24,Canaday  Kameron Canaday,LS,27,1135000,0.57,-450000.0,1360000,2022.0
25,Rudolph  Mason Rudolph,QB,25,1069620,0.54,-466132.0,836554,2022.0
26,Sutton  Cameron Sutton,CB,25,1009032,0.51,-184032.0,825000,2021.0
27,Conner  James Conner,RB,25,1001572,0.51,-176572.0,825000,2021.0
28,Johnson  Diontae Johnson,WR,24,972946,0.49,-850071.0,689589,2023.0
29,Okorafor  Chukwuma Okorafor,LT,23,953091,0.48,-406182.0,750000,2022.0
30,Layne  Justin Layne,CB,22,905545,0.46,-691635.0,675000,2023.0
31,Snell Jr.  Benny Snell Jr.,RB,22,850517,0.43,-526551.0,675000,2023.0
32,Dangerfield  Jordan Dangerfield,SS,30,825000,0.42,,825000,2021.0
33,Dobbs  Joshua Dobbs,QB,25,825000,0.42,,825000,2021.0
34,Highsmith  Alex Highsmith,ED,23,818074,0.41,-832296.0,1442296,2024.0
35,Samuels  Jaylen Samuels,RB,24,814516,0.41,-129034.0,750000,2022.0
36,McFarland  Anthony McFarland,RB,21,790607,0.4,-722428.0,1332428,2024.0
37,Dotson  Kevin Dotson,G,24,774704,0.39,-658816.0,1268816,2024.0
38,Adeniyi  Olasunkanmi Adeniyi,ED,23,755000,0.38,-5000.0,750000,2021.0
39,Davis  Sean Davis,FS,27,750000,0.38,-910000.0,910000,2021.0
40,McCloud  Ray-Ray McCloud,WR,24,750000,0.38,,750000,2021.0
41,Buggs  Isaiah Buggs,DL,24,717158,0.36,-126474.0,675000,2023.0
42,Hawkins  Jerald Hawkins,T,27,705888,0.36,,705888,2021.0
43,Allen  Marcus Allen,FS,24,675000,0.34,,675000,2021.0
44,Davis  Carlos Davis,DL,24,633376,0.32,-93504.0,703504,2024.0
45,Spillane  Robert Spillane,LB,25,616178,0.31,,616178,2021.0
46,Pierre  James Pierre,CB,24,613000,0.31,-9000.0,619000,2023.0
47,Hassenauer  J.C. Hassenauer,C,26,610000,0.31,,610000,2021.0
48,Berry  Jordan Berry,P,29,588823,0.3,,588823,2021.0
49,Elliott  Jayrone Elliott,ED,29,397062,0.2,,481764,2021.0
50,Mondeaux  Henry Mondeaux,DL,25,394702,0.2,,394702,2023.0
51,Rader  Kevin Rader,TE,25,215292,0.11,,215292,2021.0
52,Brooks Jr.  Antoine Brooks Jr.,S,23,201174,0.1,,201174,2022.0
53,Marsh  Cassius Marsh,DL,28,176472,0.09,,247058,2021.0
54,Isidora  Danny Isidora,G,26,145588,0.07,,145588,
