Unnamed: 0,Player (30),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Purdy  Brock Purdy,QB,29,57600000.0,17.22,-38650000.0,55050000.0,2031
2,Aiyuk  Brandon Aiyuk,WR,30,43325281.0,12.95,-12909281.0,30000000.0,2029
3,Bosa  Nick Bosa,ED,31,42849106.0,12.81,-14652212.0,34000000.0,2029
4,Warner  Fred Warner,LB,32,31884000.0,9.53,-22713000.0,20850000.0,2030
5,Lenoir  Deommodore Lenoir,CB,29,23795000.0,7.11,-5200000.0,16995000.0,2030
6,Kittle  George Kittle,TE,35,18888666.0,5.65,-9776000.0,18000000.0,2030
7,McKivitz  Colton McKivitz,RT,32,15866555.0,4.74,-8520110.0,14990000.0,2029
8,Williams  Trent Williams,LT,40,11089002.0,3.31,,,2027
9,Williams  Mykel Williams,ED,24,7936522.0,2.37,-7936522.0,4241367.0,2030
10,McCaffrey  Christian McCaffrey,RB,32,6762472.0,2.02,,,2028
11,Collins  Alfred Collins,DL,27,3279464.0,0.98,-1303437.0,2245485.0,2029
12,Huff  Bryce Huff,LB,30,2927000.0,0.87,,,2027
13,Martin  Nick Martin,LB,26,2087804.0,0.62,-353030.0,1734774.0,2029
14,Farrell  Luke Farrell,TE,30,1982000.0,0.59,-1728000.0,,2028
15,Stout  Upton Stout,CB,26,1960377.0,0.59,-280215.0,1680162.0,2029
16,West  CJ West,DL,26,1487772.0,0.44,-252772.0,1235000.0,2029
17,Watkins  Jordan Watkins,WR,26,1401454.0,0.42,-166454.0,1235000.0,2029
18,Watkins  Jordan Watkins,WR,26,1401454.0,0.42,-166454.0,1235000.0,2029
19,James  Jordan James,RB,24,1344923.0,0.4,-109923.0,1235000.0,2029
20,James  Jordan James,RB,24,1344923.0,0.4,-109923.0,1235000.0,2029
21,Sigle  Marques Sigle,S,26,1335594.0,0.4,-100594.0,1235000.0,2029
22,Rourke  Kurtis Rourke,QB,28,1268559.0,0.38,-33559.0,1235000.0,2029
23,Rourke  Kurtis Rourke,QB,28,1268559.0,0.38,-33559.0,1235000.0,2029
24,Colby  Connor Colby,G,25,1260416.0,0.38,-25416.0,1235000.0,2029
25,Robinson  Demarcus Robinson,WR,34,882000.0,0.26,,,2027
26,Juszczyk  Kyle Juszczyk,FB,37,746000.0,0.22,,,2027
27,Jones  Mac Jones,QB,30,730000.0,0.22,,,2027
28,Neal  Siran Neal,S,34,200000.0,0.06,,,2027
29,Brendel  Jake Brendel,C,36,,,,,2027
30,Pearsall  Ricky Pearsall,WR,28,,,,,2029
