Unnamed: 0,Player (84),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Ford  Poona Ford,ED,27,10075000,4.84,-4830000.0,8325000,2023.0
2,Lockett  Tyler Lockett,WR,30,10050000,4.83,-31200000.0,16000000,2026.0
3,Metcalf  D.K. Metcalf,WR,25,8838827,4.25,-43338827.0,31000000,2026.0
4,Jackson  Gabe Jackson,G,31,7237777,3.48,-12000000.0,6000000,2024.0
5,Nwosu  Uchenna Nwosu,LB,26,6295000,3.02,-10535000.0,11045000,2024.0
6,Diggs  Quandre Diggs,SS,29,5800000,2.79,-13490000.0,14000000,2025.0
7,Myers  Jason Myers,K,31,5000000,2.4,-1000000.0,4000000,2023.0
8,Harris  Shelby Harris,DL,31,4709988,2.26,-7970576.0,7970576,2024.0
9,Dickson  Michael Dickson,P,26,4383059,2.11,-6200000.0,3083059,2026.0
10,Blythe  Austin Blythe,C,30,4000000,1.92,-2500000.0,4000000,2023.0
11,Cross  Charles Cross,LT,22,3887932,1.87,-21383626.0,13436728,2027.0
12,Jefferson  Quinton Jefferson,DL,29,3515000,1.69,-5175000.0,5515000,2024.0
13,Smith  Geno Smith,QB,32,3500000,1.68,-550000.0,7000000,2023.0
14,Woods  Al Woods,DL,35,3460000,1.66,-4730000.0,5150000,2023.0
15,Collier  L.J. Collier,ED,27,3447843,1.66,-2461521.0,1972647,2023.0
16,Bellore  Nick Bellore,FB,33,2750000,1.32,-600000.0,2150000,2022.0
17,Haynes  Phil Haynes,G,27,2540000,1.22,,2540000,2023.0
18,Fant  Noah Fant,TE,25,2211917,1.06,,2211917,2024.0
19,Burns  Artie Burns,CB,27,2035000,0.98,-1000000.0,2035000,2023.0
20,Taylor  Darrell Taylor,LB,25,1844865,0.89,-1239820.0,1224955,2024.0
21,Mafe  Boye Mafe,ED,24,1556773,0.75,-6319285.0,4112092,2026.0
22,Walker III  Kenneth Walker III,RB,22,1534833,0.74,-6144040.0,4024332,2026.0
23,Lock  Drew Lock,QB,26,1451021,0.7,-100000.0,1451021,2023.0
24,Lewis  Damien Lewis,G,25,1336947,0.64,-562596.0,1055649,2024.0
25,Barton  Cody Barton,LB,26,1186031,0.57,-221031.0,965000,2023.0
26,Fuller  Kyle Fuller,C,28,1185000,0.57,-150000.0,1185000,2023.0
27,Parkinson  Colby Parkinson,TE,23,1062610,0.51,-335220.0,895000,2024.0
28,Dallas  DeeJay Dallas,RB,24,1018600,0.49,-247200.0,895000,2024.0
29,Lucas  Abraham Lucas,RT,24,980305,0.47,-1101220.0,1806220,2026.0
30,Tabor  Jalen Tabor,CB,27,911387,0.44,,911387,2023.0
31,Tabor  Jalen Tabor,CB,27,911387,0.44,,911387,2023.0
32,Bryant  Coby Bryant,CB,23,906951,0.44,-807804.0,1512804,2026.0
33,Bryant  Coby Bryant,CB,23,906951,0.44,-807804.0,1512804,2026.0
34,Coleman  Justin Coleman,CB,29,895000,0.43,,1120000,2023.0
35,Coleman  Justin Coleman,CB,29,895000,0.43,,1120000,2023.0
36,Neal  Ryan Neal,CB,27,895000,0.43,,1035000,2023.0
37,Neal  Ryan Neal,CB,27,895000,0.43,,1035000,2023.0
38,Hart  Penny Hart,WR,26,895000,0.43,,895000,2023.0
39,Hart  Penny Hart,WR,26,895000,0.43,,895000,2023.0
40,Forsythe  Stone Forsythe,LT,25,866656,0.42,-124968.0,825000,2025.0
41,Forsythe  Stone Forsythe,LT,25,866656,0.42,-124968.0,825000,2025.0
42,Tinker  Carson Tinker,LS,33,845274,0.41,,977500,2023.0
43,Tinker  Carson Tinker,LS,33,845274,0.41,,977500,2023.0
44,Muse  Tanner Muse,LB,26,845274,0.41,,845274,2023.0
45,Muse  Tanner Muse,LB,26,845274,0.41,,845274,2023.0
46,Curhan  Jake Curhan,RT,24,834500,0.4,-19000.0,825000,2024.0
47,Curhan  Jake Curhan,RT,24,834500,0.4,-19000.0,825000,2024.0
48,Jackson  Michael Jackson,CB,25,825000,0.4,,1559602,
49,Rhattigan  Jon Rhattigan,LB,23,825000,0.4,,825000,2023.0
50,Rhattigan  Jon Rhattigan,LB,23,825000,0.4,,825000,2023.0
51,Woolen  Tariq Woolen,CB,23,788054,0.38,-332216.0,1779594,2026.0
52,Woolen  Tariq Woolen,CB,23,788054,0.38,-332216.0,1779594,2026.0
53,Brown  Tre Brown,CB,25,779612,0.37,-480498.0,619446,2025.0
54,Young  Dareke Young,WR,23,730275,0.35,-101100.0,806100,2026.0
55,Young  Dareke Young,WR,23,730275,0.35,-101100.0,806100,2026.0
56,Adams  Myles Adams,DL,24,705000,0.34,,705000,
57,Adams  Myles Adams,DL,24,705000,0.34,,705000,
58,Irvin  Bruce Irvin,ED,35,497222,0.24,,622220,2023.0
59,Irvin  Bruce Irvin,ED,35,497222,0.24,,622220,2023.0
60,Irvin  Bruce Irvin,ED,35,497222,0.24,,622220,2023.0
61,Abram  Johnathan Abram,FS,26,343754,0.17,-343754.0,343754,2023.0
62,Abram  Johnathan Abram,FS,26,343754,0.17,-343754.0,343754,2023.0
63,Abram  Johnathan Abram,FS,26,343754,0.17,-343754.0,343754,2023.0
