Unnamed: 0,Player (103),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Smith  Donovan Smith,LT,29,18400000,8.84,-26350000.0,15750000,2024
2,David  Lavonte David,LB,32,14785000,7.1,-16640000.0,12500000,2023
3,Brady  Tom Brady,QB,45,11896000,5.71,-47000000.0,30000000,2023
4,Evans  Mike Evans,WR,29,10256274,4.93,-30595000.0,13937774,2024
5,White  Devin White,LB,24,9527759,4.58,-9527759.0,4692611,2024
6,Davis  Carlton Davis,CB,25,8127451,3.9,-23500000.0,14882356,2025
7,Gage  Russell Gage,WR,26,5666666,2.72,-15000000.0,10000000,2025
8,Godwin  Chris Godwin,WR,26,5000000,2.4,-40000000.0,20000000,2025
9,Wirfs  Tristan Wirfs,RT,23,4425825,2.13,-9589288.0,2085275,2025
10,Vea  Vita Vea,DL,27,4245475,2.04,-26405008.0,10999048,2027
11,Succop  Ryan Succop,K,36,4000000,1.92,-2750000.0,3250000,2024
12,Fournette  Leonard Fournette,RB,27,3911765,1.88,-8500000.0,6970576,2025
13,Bunting  Sean Bunting,CB,25,3386090,1.63,-846090.0,2540000,2023
14,Nunez-Roches  Rakeem Nunez-Roches,DL,29,3250000,1.56,-500000.0,2750000,2023
15,Mason  Shaq Mason,G,29,3078345,1.48,-5380000.0,7441168,2024
16,Brate  Cameron Brate,TE,31,2985000,1.43,-5940000.0,4000000,2024
17,Brate  Cameron Brate,TE,31,2985000,1.43,-5940000.0,4000000,2024
18,Dean  Jamel Dean,CB,26,2751713,1.32,-211713.0,2540000,2023
19,Edwards  Mike Edwards,S,26,2745545,1.32,-205545.0,2540000,2023
20,Edwards  Mike Edwards,S,26,2745545,1.32,-205545.0,2540000,2023
21,Tryon  Joe Tryon,ED,23,2538918,1.22,-6956753.0,1167784,2025
22,Tryon  Joe Tryon,ED,23,2538918,1.22,-6956753.0,1167784,2025
23,Hicks  Akiem Hicks,DL,33,2390823,1.15,-7294118.0,7294118,2023
24,Hicks  Akiem Hicks,DL,33,2390823,1.15,-7294118.0,7294118,2023
25,Gabbert  Blaine Gabbert,QB,33,2250000,1.08,-1750000.0,2250000,2023
26,Gabbert  Blaine Gabbert,QB,33,2250000,1.08,-1750000.0,2250000,2023
27,Gholston  William Gholston,DL,31,2100000,1.01,-3000000.0,4500000,2023
28,Gholston  William Gholston,DL,31,2100000,1.01,-3000000.0,4500000,2023
29,Jones  Julio Jones,WR,33,2029058,0.97,-5485294.0,5485294,2023
30,Jones  Julio Jones,WR,33,2029058,0.97,-5485294.0,5485294,2023
31,Rudolph  Kyle Rudolph,TE,33,2000000,0.96,-1500000.0,2000000,2023
32,Rudolph  Kyle Rudolph,TE,33,2000000,0.96,-1500000.0,2000000,2023
33,Winfield Jr.  Antoine Winfield Jr.,S,24,1992868,0.96,-1437158.0,1274289,2024
34,Hall  Logan Hall,DL,22,1693901,0.81,-6861029.0,4660604,2026
35,Hall  Logan Hall,DL,22,1693901,0.81,-6861029.0,4660604,2026
36,Vaughn  Ke'Shawn Vaughn,RB,25,1297091,0.62,-509454.0,1042364,2024
37,Vaughn  Ke'Shawn Vaughn,RB,25,1297091,0.62,-509454.0,1042364,2024
38,Trask  Kyle Trask,QB,24,1258031,0.6,-1039275.0,911606,2025
39,Trask  Kyle Trask,QB,24,1258031,0.6,-1039275.0,911606,2025
40,Nelson  Anthony Nelson,ED,25,1158760,0.56,-193760.0,965000,2023
41,Goedeke  Luke Goedeke,G,24,1123452,0.54,-2659671.0,2378808,2026
42,Ryan  Logan Ryan,CB,31,1120000,0.54,,1120000,2023
43,Ryan  Logan Ryan,CB,31,1120000,0.54,,1120000,2023
44,Triner  Zach Triner,LS,31,1115000,0.54,-835000.0,1265000,2024
45,Triner  Zach Triner,LS,31,1115000,0.54,-835000.0,1265000,2024
