Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Tannehill  Ryan Tannehill,QB,35,36600000,16.28,-45800000.0,27000000,2024
2,Henry  Derrick Henry,RB,29,16367647,7.28,-20602941.0,10500000,2024
3,Landry  Harold Landry,ED,27,10550000,4.69,-47450000.0,15000000,2027
4,Autry  Denico Autry,DL,33,9102932,4.05,-8750000.0,7250000,2024
5,Brewer  Aaron Brewer,C,26,4304000,1.91,,4304000,2024
6,Hopkins  DeAndre Hopkins,WR,31,4028000,1.79,-10980000.0,13880000,2025
7,Skoronski  Peter Skoronski,T,22,3576967,1.59,-19673318.0,12057868,2028
8,Burks  Treylon Burks,WR,23,3265816,1.45,-11756939.0,1358163,2026
9,Key  Arden Key,ED,27,2880000,1.28,-11830000.0,8080000,2026
10,Dillard  Andre Dillard,T,28,2619765,1.17,-10000000.0,7441165,2026
11,Al-Shaair  Azeez Al-Shaair,LB,26,2243411,1.0,-4250000.0,5000000,2024
12,Folk  Nick Folk,K,39,2200000,0.98,-1690000.0,2200000,2024
13,McCreary  Roger McCreary,CB,23,2083093,0.93,-5579278.0,1121619,2026
14,Brunskill  Daniel Brunskill,T,29,2021177,0.9,-2080000.0,2491754,2025
15,Bunting  Sean Bunting,CB,26,1886666,0.84,-3500000.0,3500000,2024
16,Levis  Will Levis,QB,24,1734939,0.77,-8730961.0,4689756,2027
17,Radunz  Dillon Radunz,G,25,1725511,0.77,-980682.0,1235170,2025
18,Molden  Elijah Molden,CB,24,1305232,0.58,-420310.0,1095077,2025
19,Gipson  Trevis Gipson,DL,26,1250000,0.56,,1250000,2024
20,Willis  Malik Willis,QB,24,1172750,0.52,-699600.0,939550,2026
21,Weaver  Rashad Weaver,DL,26,1104916,0.49,-329832.0,940000,2025
22,Cox  Morgan Cox,LS,37,1092500,0.49,-1317500.0,1317500,2024
23,Moore  Chris Moore,WR,30,1092500,0.49,-1317500.0,1317500,2024
24,Wesco  Trevon Wesco,FB,28,1092500,0.49,-1232500.0,1232500,2024
25,Spears  Tyjae Spears,RB,22,998294,0.44,-993176.0,1743176,2027
26,Okonkwo  Chig Okonkwo,TE,24,996085,0.44,-378255.0,870000,2026
27,Edmunds  Terrell Edmunds,FS,26,975294,0.43,-660000.0,1290576,2024
28,Levin  Corey Levin,C,29,940000,0.42,-1080000.0,1080000,2024
29,Avery  Tre Avery,S,26,870000,0.39,,870000,2025
30,Philips  Kyle Philips,WR,24,860554,0.38,-234993.0,782223,2026
31,Duncan  Jaelyn Duncan,T,23,797450,0.35,-189800.0,939800,2027
32,Rader  Kevin Rader,TE,28,785554,0.35,,785554,2024
33,Murphy  Caleb Murphy,LB,24,751666,0.33,-15000.0,755000,2026
34,Kendall  Anthony Kendall,CB,24,750000,0.33,,750000,2026
35,Brown  Mike Brown,S,24,716385,0.32,,716385,2025
36,Wallace  K'Von Wallace,SS,26,617221,0.27,,617221,2024
37,Garror  Eric Garror,S,23,458337,0.2,,458337,2025
38,Throckmorton  Calvin Throckmorton,T,27,417776,0.19,,417776,2024
39,McLendon Jr.  TK McLendon Jr.,DL,23,333336,0.15,,333336,2025
40,Johnson  Jaleel Johnson,DL,29,313332,0.14,,360000,2024
41,Ward  Jonathan Ward,RB,26,280555,0.12,,280555,2024
42,Bohanna  Quinton Bohanna,DL,24,208888,0.09,,208888,2025
43,Zentner  Ty Zentner,P,25,208335,0.09,,208335,2025
44,Reese  Otis Reese,LB,25,208335,0.09,,208335,2025
45,Kinsey  Mason Kinsey,WR,25,166668,0.07,,166668,2026
46,Coburn  Keondre Coburn,DL,23,166668,0.07,,166668,2025
47,Davidson  Marlon Davidson,DL,25,156667,0.07,,156667,2024
48,Wallow  Garret Wallow,LB,24,156666,0.07,,156666,2025
49,Domann  Jojo Domann,LB,26,145000,0.06,,145000,2025
50,Rupcich  Andrew Rupcich,T,24,125000,0.06,,125000,2025
51,Ojukwu  John Ojukwu,T,24,125000,0.06,,125000,2026
52,Blacklock  Ross Blacklock,DL,25,112222,0.05,,112222,2024
53,Jackson  Matt Jackson,S,25,41667,0.02,,41667,2025
