Unnamed: 0,Player (53),Pos,Age,Cap Hit,Cap Hit Pct  League Cap,Dead Cap,Cash Total,Free Agent  Year
1,Norman  Josh Norman,CB,31,16800000,9.48,-22300000.0,13800000,2021
2,Williams  Trent Williams,LT,30,13579005,7.66,-18967640.0,10053125,2021
3,Kerrigan  Ryan Kerrigan,ED,30,12450000,7.03,-15400000.0,9250000,2021
4,Moses  Morgan Moses,RT,27,5400000,3.05,-10850000.0,3500000,2023
5,Davis  Vernon Davis,TE,34,5302083,2.99,-6416667.0,3968750,2020
6,McGee  Stacy McGee,DL,28,4675000,2.64,-3200000.0,3875000,2022
7,Clinton-Dix  HaHa Clinton-Dix,FS,26,3153705,1.78,,3153705,2019
8,Thompson  Chris Thompson,RB,28,3152250,1.78,-3996000.0,2152250,2020
9,Brown  Zach Brown,LB,29,2953125,1.67,-5500000.0,5953125,2021
10,Nsekhe  Ty Nsekhe,LT,33,2914000,1.64,,2914000,2019
11,Doctson  Josh Doctson,WR,26,2740811,1.55,-5938426.0,1363604,2020
12,Allen  Jonathan Allen,DL,23,2635540,1.49,-9487944.0,992108,2022
13,Payne  Daron Payne,DL,21,2621520,1.48,-14418360.0,9046080,2023
14,Crowder  Jamison Crowder,WR,25,2043406,1.15,-136406.0,1907000,2019
15,Smith  Preston Smith,ED,26,1838886,1.04,-615792.0,1223094,2019
16,Way  Tress Way,P,28,1750000,0.99,-2100000.0,1500000,2021
17,Foster  Mason Foster,LB,29,1750000,0.99,-1500000.0,2000000,2020
18,McPhee  Pernell McPhee,ED,30,1706250,0.96,-350000.0,1706250,2019
19,Hopkins  Dustin Hopkins,K,28,1599285,0.9,-2000000.0,2400000,2021
20,Anderson  Ryan Anderson,ED,24,1210164,0.68,-2216428.0,707033,2021
21,Everett  Deshazor Everett,SS,26,1125000,0.63,-1125000.0,1250000,2020
22,Moreau  Fabian Moreau,CB,24,794348,0.45,-619044.0,588000,2021
23,Bergstrom  Tony Bergstrom,C,32,720000,0.41,-880000.0,880000,2019
24,Perine  Samaje Perine,RB,23,719945,0.41,-494836.0,555000,2021
25,Vigil  Zach Vigil,ED,27,705000,0.4,,705000,2019
26,Peterson  Adrian Peterson,RB,33,630000,0.36,-1015000.0,1015000,2019
27,Ioannidis  Matthew Ioannidis,DL,24,630000,0.36,,630000,2020
28,Sprinkle  Jeremy Sprinkle,TE,24,624125,0.35,-207378.0,555000,2021
29,Roullier  Chase Roullier,C,25,591792,0.33,-110376.0,913849,2021
30,Harvey-Clemons  Josh Harvey-Clemons,LB,24,576076,0.33,-63230.0,555000,2022
31,Floyd  Michael Floyd,WR,29,555885,0.31,,697065,2019
32,Brantley  Caleb Brantley,DL,24,555000,0.31,,555000,2020
33,Settle  Tim Settle,DL,21,547010,0.31,-268041.0,748041,2022
34,Alexander  Adonis Alexander,CB,22,519048,0.29,-156192.0,636192,2022
35,Hamilton  Shaun-Dion Hamilton,LB,23,518252,0.29,-153010.0,633010,2022
36,Stroman  Greg Stroman,CB,22,498944,0.28,-75776.0,555776,2022
37,Marshall  Byron Marshall,RB,24,490589,0.28,,490589,2020
38,Chesson  Jehu Chesson,WR,25,359117,0.2,,359117,2020
39,Bowanko  Luke Bowanko,C,27,296472,0.17,,371764,2019
40,Sanchez  Mark Sanchez,QB,32,222354,0.13,,322941,2019
41,Kerin  Zac Kerin,C,27,165882,0.09,,165882,2019
42,Johnson  Josh Johnson,QB,32,148235,0.08,,148235,2019
43,Fuller  Kyle Fuller,C,24,97941,0.06,,97941,2020
44,East  Andrew East,LS,27,84705,0.05,,84705,2020
45,Flanagan  Matt Flanagan,TE,23,84705,0.05,,84705,2020
46,Miller  Harlan Miller,CB,24,65294,0.04,,65294,2020
47,Reaves  Jeremy Reaves,S,22,56470,0.03,,56470,2021
48,Parris  Timon Parris,T,23,56470,0.03,,56470,2021
49,Kidsy  Darvin Kidsy,WR,23,56470,0.03,,56470,2021
50,Flowers  Marquis Flowers,ED,26,41470,0.02,,41470,2020
51,Smith  Marcus Smith,DL,26,37059,0.02,,46470,2020
52,Carter  Alex Carter,S,24,28235,0.02,,28235,2020
53,Holtz  J.P. Holtz,TE,25,28235,0.02,,28235,2020
