Team,Year,Salary_Cap,Active_Cap_Spend,Dead_Cap,Dead_Cap_%,QB_Cap_Hit,QB_Cap_%,Offensive_Spend,Defensive_Spend,Avg_Roster_Age,Wins,Playoff_Appearance
arizona-cardinals,2018,177200000.0,107921249.0,40226555.0,0.2270121613995485,5199592.0,0.0293430699774266,42823431.0,48088100.0,25.90566037735849,3.0,0
arizona-cardinals,2019,188200000.0,194036972.0,110341496.0,0.58629912858661,10229835.0,0.0543561902231668,100686490.0,61241321.0,25.6640625,5.5,0
arizona-cardinals,2020,198200000.0,134942587.0,16289298.0,0.0821861654894046,9578101.0,0.0483254339051463,75973394.0,48489137.0,26.69811320754717,8.0,0
arizona-cardinals,2021,182500000.0,198302341.0,34257959.0,0.1877148438356164,12730383.0,0.0697555232876712,88904172.0,65006937.0,27.166666666666668,11.0,1
arizona-cardinals,2022,208200000.0,113997663.0,43576214.0,0.2092997790585975,4108332.0,0.0197326224783861,51377648.0,46833503.0,26.945054945054945,4.0,0
arizona-cardinals,2023,224800000.0,107330420.0,69784194.0,0.310427909252669,16844656.0,0.0749317437722419,53675181.0,45450533.0,25.58490566037736,4.0,0
arizona-cardinals,2024,255400000.0,164853997.0,32166381.0,0.1259451096319498,50120833.0,0.1962444518402505,81771704.0,66091294.0,25.9811320754717,8.0,0
arizona-cardinals,2025,279200000.0,126356564.0,29716964.0,0.10643611747851,5916667.0,0.0211915007163323,39890459.0,61806631.0,26.33962264150944,3.0,0
atlanta-falcons,2018,177200000.0,196779555.0,22418727.0,0.1265165180586907,26700000.0,0.1506772009029345,98612634.0,58937093.0,27.376146788990827,7.0,0
atlanta-falcons,2019,188200000.0,143255360.0,26394648.0,0.1402478639744952,17205000.0,0.0914187035069075,82771736.0,35560205.0,25.83529411764706,7.0,0
atlanta-falcons,2020,198200000.0,303135467.0,77391728.0,0.3904728960645812,26087500.0,0.1316220988900101,158827116.0,97896698.0,26.83458646616541,4.0,0
atlanta-falcons,2021,182500000.0,187744781.0,53357534.0,0.2923700493150685,29462500.0,0.1614383561643835,100555276.0,77596987.0,26.72972972972973,7.0,0
atlanta-falcons,2022,208200000.0,94499866.0,83599124.0,0.4015327761767531,1223694.0,0.005877492795389,48759902.0,37169926.0,26.09433962264151,7.0,0
atlanta-falcons,2023,224800000.0,163895473.0,25649790.0,0.1141004893238434,7448855.0,0.0331354759786476,92303831.0,53646977.0,26.37037037037037,7.0,0
atlanta-falcons,2024,255400000.0,219836480.0,15187366.0,0.0594650195771339,29160479.0,0.1141757204385278,121656082.0,80129176.0,27.150943396226417,8.0,0
atlanta-falcons,2025,279200000.0,212250145.0,30097486.0,0.1077990186246418,40400554.0,0.1447011246418338,120733368.0,65876948.0,27.0188679245283,8.0,0
baltimore-ravens,2018,177200000.0,150160923.0,14609080.0,0.0824440180586907,27572117.0,0.1555988544018058,67024985.0,61651196.0,26.30188679245283,10.0,1
baltimore-ravens,2019,188200000.0,149889873.0,39814230.0,0.2115527630180659,4722990.0,0.0250955897980871,60114306.0,76279344.0,26.86842105263158,14.0,1
baltimore-ravens,2020,198200000.0,157254394.0,36894494.0,0.1861478002018163,2583176.0,0.0130331786074672,43977838.0,79481434.0,27.02409638554217,11.0,1
baltimore-ravens,2021,182500000.0,123682235.0,27685630.0,0.1517020821917808,4951484.0,0.0271314191780821,49433745.0,56132743.0,27.18421052631579,8.0,0
baltimore-ravens,2022,208200000.0,197721463.0,50751961.0,0.2437654226705091,25936002.0,0.1245725360230547,101005441.0,72362636.0,25.881720430107528,10.0,1
baltimore-ravens,2023,224800000.0,175622212.0,15901398.0,0.070735756227758,25726998.0,0.1144439412811387,91664540.0,68249774.0,26.943396226415093,13.0,1
baltimore-ravens,2024,255400000.0,219432580.0,23109416.0,0.0904832263116679,33552500.0,0.1313723570869224,112892291.0,88330299.0,26.61111111111111,12.0,1
baltimore-ravens,2025,279200000.0,205598096.0,31881343.0,0.1141881912607449,46033442.0,0.1648762249283667,123706082.0,65060855.0,26.39622641509434,8.0,0
buffalo-bills,2018,177200000.0,117169312.0,82214123.0,0.4639623194130925,6094403.0,0.0343927934537246,49804389.0,42610615.0,25.84042553191489,6.0,0
buffalo-bills,2019,188200000.0,202775998.0,35490291.0,0.1885775292242295,8364326.0,0.0444438150903294,96957149.0,68384111.0,26.6734693877551,10.0,1
buffalo-bills,2020,198200000.0,208434406.0,20622929.0,0.1040511049445005,9263671.0,0.0467390060544904,98309210.0,75282748.0,26.21875,13.0,1
buffalo-bills,2021,182500000.0,165564312.0,9888567.0,0.0541839287671232,12702338.0,0.0696018520547945,75663334.0,62633890.0,26.49090909090909,11.0,1
buffalo-bills,2022,208200000.0,172965280.0,38812344.0,0.1864185590778098,19872281.0,0.0954480355427473,79719707.0,78648630.0,26.897058823529413,13.0,1
buffalo-bills,2023,224800000.0,182016009.0,10167412.0,0.0452287010676156,19728781.0,0.0877614813167259,93061451.0,65813579.0,26.9811320754717,11.0,1
buffalo-bills,2024,255400000.0,175108383.0,75053004.0,0.2938645418950665,32418781.0,0.1269333633516053,85043076.0,58730054.0,26.867924528301888,13.0,1
buffalo-bills,2025,279200000.0,196721921.0,39631744.0,0.1419475071633237,39588431.0,0.1417923746418338,117903323.0,55756645.0,27.48148148148148,12.0,1
carolina-panthers,2018,177200000.0,198111486.0,35141375.0,0.1983147573363431,21767351.0,0.1228405812641083,84758266.0,85099641.0,26.717741935483872,7.0,0
